t,v
5.78,-0.27439
5.797,-0.18825
5.814,-0.167353
5.831,-0.22435
5.848,-0.320118
5.865,-0.233297
5.882,-0.0900642
5.899,-0.204696
5.916,-0.156489
5.933,-0.166817
5.95,-0.245354
5.967,-0.238547
5.984,-0.273553
6.001,-0.234976
6.018,-0.342116
6.035,-0.318956
6.052,-0.311665
6.069,-0.249363
6.086,-0.185704
6.103,-0.258265
6.12,-0.231687
6.137,-0.141657
6.154,-0.159762
6.171,-0.104135
6.188,-0.17105
6.205,-0.106051
6.222,-0.168986
6.239,-0.134853
6.256,-0.0804812
6.273,0.0183919
6.29,-0.0101321
6.307,-0.000330357
6.324,-0.0681551
6.341,-0.089889
6.358,-0.0474139
6.375,-0.133092
6.392,-0.148777
6.409,-0.169444
6.426,-0.130488
6.443,-0.139466
6.46,-0.00695201
6.477,0.0219005
6.494,0.0578119
6.511,0.0343759
6.528,-0.0177974
6.545,-0.0918202
6.562,-0.108453
6.579,-0.206899
6.596,-0.172275
6.613,-0.248105
6.63,-0.236698
6.647,-0.244518
6.664,-0.267983
6.681,-0.308072
6.698,-0.283465
6.715,-0.120885
6.732,-0.0715323
6.749,-0.0917286
6.766,-0.0693515
6.783,-0.0405387
6.8,-0.187303
6.817,-0.169856
6.834,-0.160909
6.851,-0.157371
6.868,-0.216328
6.885,-0.129579
6.902,-0.0893326
6.919,0.0113096
6.936,-0.0293278
6.953,0.0384456
6.97,0.0291619
6.987,0.0142514
7.004,-0.0802333
7.021,-0.0362143
7.038,-0.0508359
7.055,-0.0149737
7.072,-0.0573879
7.089,-0.118935
7.106,-0.0508862
7.123,-0.0895219
7.14,-0.115849
7.157,-0.111414
7.174,0.02693
7.191,0.00423138
7.208,0.0301569
7.225,0.02169
7.242,-0.0771963
7.259,0.0249005
7.276,0.0156678
7.293,0.0818141
7.31,0.0593483
7.327,0.0385874
7.344,0.0424798
7.361,0.0206939
7.378,-0.0501807
7.395,-0.202918
7.412,-0.104742
7.429,-0.0377594
7.446,-0.0259076
7.463,-0.0282084
7.48,-0.000819502
7.497,0.083663
7.514,0.104257
7.531,0.185598
7.548,0.150051
7.565,0.183893
7.582,0.203027
7.599,0.274859
7.616,0.260431
7.633,0.228919
7.65,0.14549
7.667,0.105688
7.684,0.218219
7.701,0.185828
7.718,0.208838
7.735,0.203712
7.752,0.227302
7.769,0.278049
7.786,0.268715
7.803,0.25083
7.82,0.188043
7.837,0.0807584
7.854,0.0859516
7.871,0.0910548
7.888,0.0336297
7.905,-0.0121479
7.922,-0.0890891
7.939,-0.114086
7.956,-0.141866
7.973,-0.117563
7.99,-0.122817
8.007,-0.123201
