0 0
0.211 0.088 0.285589
0.212 0.0887667 0.288009
0.213 0.0898 0.291269
0.214 0.0907667 0.294317
0.215 0.0920667 0.298413
0.216 0.0929667 0.301246
0.217 0.0940667 0.304707
0.218 0.0947667 0.306908
0.219 0.0955333 0.309318
0.22 0.0962 0.311412
0.221 0.0971333 0.314343
0.222 0.0981 0.317376
0.223 0.0991667 0.320722
0.224 0.1003 0.324273
0.225 0.1012 0.327092
0.226 0.102233 0.330326
0.227 0.1034 0.333975
0.228 0.104967 0.338871
0.229 0.106 0.342097
0.23 0.107133 0.345634
0.231 0.108 0.348336
0.232 0.1091 0.351986
0.233 0.110533 0.356449
0.234 0.111767 0.360286
0.235 0.1128 0.363498
0.236 0.113767 0.366502
0.237 0.114667 0.369296
0.238 0.115633 0.372296
0.239 0.116833 0.376017
0.24 0.118 0.379632
0.241 0.119033 0.382831
0.242 0.120133 0.386235
0.243 0.1209 0.388605
0.244 0.122333 0.393035
0.245 0.1238 0.397562
0.246 0.1249 0.400956
0.247 0.1264 0.405579
0.248 0.127833 0.409992
0.249 0.1289 0.413274
0.25 0.13 0.416656
0.251 0.131033 0.41983
0.252 0.132367 0.423924
0.253 0.133433 0.427196
0.254 0.1345 0.430465
0.255 0.1359 0.434753
0.256 0.137233 0.438834
0.257 0.138533 0.442809
0.258 0.1398 0.446678
0.259 0.140933 0.450138
0.26 0.1422 0.454001
0.261 0.1432 0.457049
0.262 0.144433 0.460806
0.263 0.146067 0.465776
0.264 0.147233 0.469322
0.265 0.148533 0.473271
0.266 0.149633 0.47661
0.267 0.150967 0.480654
0.268 0.152133 0.484189
0.269 0.153567 0.488528
0.27 0.154333 0.490848
0.271 0.1558 0.495282
0.272 0.157133 0.499309
0.273 0.158433 0.503454
0.274 0.159533 0.506771
0.275 0.161133 0.511592
0.276 0.162467 0.515605
0.277 0.163833 0.519714
0.278 0.165033 0.52332
0.279 0.1661 0.526522
0.28 0.1679 0.531921
0.281 0.1691 0.535516
0.282 0.1706 0.540007
0.283 0.1718 0.543596
0.284 0.172933 0.546983
0.285 0.174233 0.550865
0.286 0.175833 0.555638
0.287 0.177433 0.560406
0.288 0.1788 0.564475
0.289 0.180133 0.568441
0.29 0.1814 0.572205
0.291 0.182633 0.575867
0.292 0.183667 0.578933
0.293 0.184867 0.582491
0.294 0.1862 0.586441
0.295 0.187533 0.590387
0.296 0.189033 0.594822
0.297 0.190367 0.598761
0.298 0.191533 0.602204
0.299 0.192767 0.605841
0.3 0.193867 0.609082
0.301 0.1951 0.612714
0.302 0.196533 0.61693
0.303 0.197633 0.620163
0.304 0.199233 0.624862
0.305 0.200667 0.629066
0.306 0.201933 0.632778
0.307 0.203267 0.636683
0.308 0.204767 0.641071
0.309 0.205667 0.643701
0.31 0.2071 0.647887
0.311 0.208567 0.652167
0.312 0.210033 0.656442
0.313 0.2117 0.661294
0.314 0.212833 0.664591
0.315 0.2145 0.669434
0.316 0.215767 0.673111
0.317 0.217067 0.676882
0.318 0.2191 0.682773
0.319 0.220567 0.687017
0.32 0.2222 0.691738
0.321 0.223967 0.696839
0.322 0.225567 0.701453
0.323 0.226967 0.705486
0.324 0.228533 0.709995
0.325 0.2296 0.713062
0.326 0.2312 0.717658
0.327 0.2327 0.721962
0.328 0.234267 0.726452
0.329 0.2358 0.730843
0.33 0.237233 0.734943
0.331 0.238733 0.739229
0.332 0.2403 0.7437
0.333 0.2416 0.747407
0.334 0.243067 0.751585
0.335 0.244433 0.755475
0.336 0.245833 0.759455
0.337 0.247367 0.76381
0.338 0.249067 0.768632
0.339 0.250567 0.772883
0.34 0.251767 0.77628
0.341 0.2534 0.7809
0.342 0.2547 0.784572
0.343 0.255933 0.788054
0.344 0.257667 0.793163
0.345 0.259167 0.797388
0.346 0.260633 0.801515
0.347 0.261967 0.805262
0.348 0.263833 0.810281
0.349 0.265367 0.814581
0.35 0.266967 0.819284
0.351 0.269 0.825195
0.352 0.2704 0.829106
0.353 0.271767 0.832921
0.354 0.273033 0.836453
0.355 0.274767 0.841281
0.356 0.2762 0.845269
0.357 0.2774 0.848605
0.358 0.279067 0.853233
0.359 0.280067 0.856007
0.36 0.2814 0.859481
0.361 0.282567 0.862712
0.362 0.2843 0.867507
0.363 0.2859 0.871928
0.364 0.287167 0.875424
0.365 0.289033 0.880571
0.366 0.2903 0.884059
0.367 0.291567 0.887544
0.368 0.292933 0.891301
0.369 0.294267 0.894963
0.37 0.295367 0.897981
0.371 0.297 0.902458
0.372 0.298333 0.906108
0.373 0.299867 0.91008
0.374 0.301467 0.914451
0.375 0.302667 0.917726
0.376 0.3039 0.921089
0.377 0.305167 0.92454
0.378 0.306367 0.927806
0.379 0.307533 0.930979
0.38 0.308967 0.934873
0.381 0.3105 0.939034
0.382 0.311467 0.941655
0.383 0.313133 0.94617
0.384 0.314667 0.950318
0.385 0.316767 0.955992
0.386 0.318233 0.95995
0.387 0.319667 0.963813
0.388 0.3211 0.967673
0.389 0.322333 0.97099
0.39 0.3237 0.974663
0.391 0.325 0.978375
0.392 0.326233 0.981683
0.393 0.327933 0.98646
0.394 0.329533 0.990741
0.395 0.3307 0.99386
0.396 0.332333 0.998221
0.397 0.3338 1.00213
0.398 0.334733 1.00484
0.399 0.3359 1.00795
0.4 0.337133 1.01123
0.401 0.338533 1.01495
0.402 0.339633 1.01787
0.403 0.340667 1.02061
0.404 0.342333 1.02503
0.405 0.343567 1.0283
0.406 0.344567 1.03094
0.407 0.346067 1.0349
0.408 0.347567 1.03886
0.409 0.349167 1.04308
0.41 0.350967 1.04782
0.411 0.352533 1.05216
0.412 0.3543 1.05703
0.413 0.355633 1.06075
0.414 0.357233 1.06516
0.415 0.358467 1.06795
0.416 0.3598 1.07121
0.417 0.360833 1.07391
0.418 0.3622 1.07748
0.419 0.363333 1.08088
0.42 0.364633 1.08449
0.421 0.366333 1.08891
0.422 0.368 1.09324
0.423 0.3695 1.09736
0.424 0.3705 1.09995
0.425 0.371967 1.10375
0.426 0.373233 1.10703
0.427 0.375333 1.11246
0.428 0.377167 1.11719
0.429 0.3784 1.12037
0.43 0.3795 1.1232
0.431 0.380767 1.12668
0.432 0.3823 1.13085
0.433 0.3838 1.1347
0.434 0.3846 1.13653
0.435 0.386433 1.141
0.436 0.387367 1.14361
0.437 0.389 1.14779
0.438 0.390133 1.15068
0.439 0.3918 1.15494
0.44 0.3931 1.15847
0.441 0.394433 1.16209
0.442 0.3955 1.1648
0.443 0.397 1.16884
0.444 0.398367 1.17253
0.445 0.3998 1.17616
0.446 0.4012 1.17971
0.447 0.4022 1.18224
0.448 0.4038 1.18628
0.449 0.405433 1.1904
0.45 0.4071 1.1946
0.451 0.408333 1.19771
0.452 0.4094 1.20039
0.453 0.410867 1.2043
0.454 0.412067 1.20731
0.455 0.413267 1.21054
0.456 0.414333 1.21322
0.457 0.415667 1.21655
0.458 0.416833 1.21947
0.459 0.417867 1.22183
0.46 0.4194 1.22566
0.461 0.420667 1.22882
0.462 0.421867 1.23203
0.463 0.423333 1.23612
0.464 0.424367 1.23869
0.465 0.425233 1.24084
0.466 0.4264 1.24352
0.467 0.4278 1.24699
0.468 0.428733 1.2493
0.469 0.429467 1.25111
0.47 0.4299 1.25241
0.471 0.430633 1.25422
0.472 0.432167 1.25801
0.473 0.4332 1.26034
0.474 0.434533 1.26385
0.475 0.4351 1.26524
0.476 0.436 1.26746
0.477 0.437067 1.26986
0.478 0.438 1.27216
0.479 0.439233 1.27563
0.48 0.440767 1.27961
0.481 0.441833 1.28245
0.482 0.442833 1.28445
0.483 0.444067 1.28725
0.484 0.445 1.28953
0.485 0.446267 1.2924
0.486 0.447467 1.29533
0.487 0.448733 1.29864
0.488 0.4502 1.30243
0.489 0.451733 1.30616
0.49 0.452833 1.30883
0.491 0.454267 1.31209
0.492 0.4556 1.31554
0.493 0.4565 1.31772
0.494 0.457033 1.31901
0.495 0.458467 1.32247
0.496 0.4595 1.32519
0.497 0.4608 1.32855
0.498 0.461333 1.32984
0.499 0.4624 1.33241
0.5 0.464033 1.33678
0.501 0.464867 1.33879
0.502 0.465533 1.34061
0.503 0.466633 1.34236
0.504 0.4669 1.343
0.505 0.467667 1.34507
0.506 0.4682 1.34612
0.507 0.469567 1.34962
0.508 0.470433 1.35147
0.509 0.4713 1.35354
0.51 0.4723 1.35571
0.511 0.473367 1.35826
0.512 0.4741 1.36001
0.513 0.475067 1.36231
0.514 0.4764 1.36504
0.515 0.477033 1.36677
0.516 0.4784 1.37002
0.517 0.479367 1.37254
0.518 0.4809 1.37618
0.519 0.4826 1.38043
0.52 0.483933 1.38336
0.521 0.4844 1.38447
0.522 0.485333 1.38667
0.523 0.4864 1.38897
0.524 0.487433 1.39141
0.525 0.487967 1.39267
0.526 0.488967 1.39502
0.527 0.489767 1.39691
0.528 0.490367 1.39832
0.529 0.491433 1.40127
0.53 0.492667 1.40395
0.531 0.4939 1.40684
0.532 0.4952 1.40989
0.533 0.495733 1.41114
0.534 0.4968 1.41363
0.535 0.497533 1.41557
0.536 0.4983 1.41736
0.537 0.4992 1.41947
0.538 0.5002 1.4218
0.539 0.501567 1.42499
0.54 0.502367 1.42707
0.541 0.503467 1.42963
0.542 0.503633 1.43002
0.543 0.504567 1.43219
0.544 0.505367 1.43449
0.545 0.505967 1.43633
0.546 0.506567 1.43772
0.547 0.506833 1.43834
0.548 0.507367 1.4398
0.549 0.5083 1.44196
0.55 0.508967 1.44329
0.551 0.510333 1.44623
0.552 0.511133 1.44808
0.553 0.511433 1.44877
0.554 0.512133 1.45016
0.555 0.512333 1.4504
0.556 0.513467 1.45324
0.557 0.513933 1.45432
0.558 0.5149 1.45654
0.559 0.5159 1.45885
0.56 0.5164 1.45978
0.561 0.5177 1.46254
0.562 0.5189 1.46552
0.563 0.5195 1.4669
0.564 0.520233 1.46858
0.565 0.5208 1.46966
0.566 0.5218 1.47195
0.567 0.522233 1.47294
0.568 0.523233 1.47523
0.569 0.523567 1.47621
0.57 0.524633 1.47843
0.571 0.525267 1.47987
0.572 0.5264 1.48268
0.573 0.527267 1.48466
0.574 0.528167 1.48671
0.575 0.528367 1.48738
0.576 0.529367 1.48988
0.577 0.5302 1.492
0.578 0.5307 1.49314
0.579 0.531467 1.49465
0.58 0.531767 1.49534
0.581 0.532567 1.49737
0.582 0.5329 1.49791
0.583 0.5334 1.49904
0.584 0.534267 1.50123
0.585 0.534767 1.50236
0.586 0.535 1.50289
0.587 0.535267 1.50349
0.588 0.536367 1.50576
0.589 0.5374 1.50831
0.59 0.5378 1.50922
0.591 0.538367 1.51049
0.592 0.539033 1.512
0.593 0.540167 1.51455
0.594 0.540633 1.5156
0.595 0.541167 1.51681
0.596 0.542067 1.51861
0.597 0.5428 1.52026
0.598 0.5438 1.5225
0.599 0.5445 1.52408
0.6 0.545433 1.52639
0.601 0.5465 1.52878
0.602 0.546733 1.5293
0.603 0.5478 1.53169
0.604 0.548533 1.53378
0.605 0.5489 1.5346
0.606 0.549967 1.53698
0.607 0.550667 1.53854
0.608 0.551 1.53929
0.609 0.5518 1.54107
0.61 0.5525 1.54241
0.611 0.553167 1.54367
0.612 0.5538 1.54508
0.613 0.5541 1.54553
0.614 0.555167 1.54812
0.615 0.555767 1.54946
0.616 0.556233 1.55049
0.617 0.557033 1.55271
0.618 0.557067 1.55279
0.619 0.5571 1.55286
0.62 0.5574 1.55353
0.621 0.5575 1.55375
0.622 0.5583 1.55575
0.623 0.559433 1.55826
0.624 0.56 1.55973
0.625 0.5615 1.56327
0.626 0.562 1.56371
0.627 0.562667 1.56541
0.628 0.563067 1.56651
0.629 0.5635 1.56725
0.63 0.563767 1.56761
0.631 0.5637 1.56724
0.632 0.5646 1.569
0.633 0.565167 1.57048
0.634 0.5662 1.57275
0.635 0.566733 1.57348
0.636 0.567067 1.57399
0.637 0.567833 1.57568
0.638 0.568333 1.57655
0.639 0.568867 1.57817
0.64 0.569433 1.57941
0.641 0.57 1.58066
0.642 0.570233 1.58117
0.643 0.570533 1.58183
0.644 0.571233 1.58314
0.645 0.5713 1.58306
0.646 0.572033 1.58467
0.647 0.572867 1.58671
0.648 0.573 1.587
0.649 0.5738 1.58853
0.65 0.5739 1.58875
0.651 0.574033 1.58904
0.652 0.574633 1.59057
0.653 0.5754 1.59225
0.654 0.575633 1.59298
0.655 0.5758 1.59312
0.656 0.5762 1.59399
0.657 0.577267 1.59632
0.658 0.577533 1.5969
0.659 0.578467 1.59871
0.66 0.578967 1.60024
0.661 0.580033 1.60278
0.662 0.5801 1.60315
0.663 0.580133 1.60322
0.664 0.580133 1.603
0.665 0.580067 1.60286
0.666 0.580733 1.60408
0.667 0.581667 1.60611
0.668 0.5827 1.60835
0.669 0.5832 1.60966
0.67 0.583933 1.61124
0.671 0.584867 1.61371
0.672 0.585467 1.61501
0.673 0.585667 1.61544
0.674 0.5863 1.61703
0.675 0.587167 1.6189
0.676 0.588233 1.6212
0.677 0.588867 1.62257
0.678 0.589167 1.62344
0.679 0.589767 1.62495
0.68 0.589933 1.62553
0.681 0.589933 1.62553
0.682 0.5906 1.62719
0.683 0.591167 1.62841
0.684 0.591567 1.62949
0.685 0.5916 1.63001
0.686 0.5923 1.63151
0.687 0.5927 1.63304
0.688 0.593167 1.63404
0.689 0.593433 1.63506
0.69 0.5933 1.63455
0.691 0.5943 1.6367
0.692 0.594733 1.63785
0.693 0.595133 1.63871
0.694 0.595033 1.63849
0.695 0.595767 1.64006
0.696 0.595833 1.64043
0.697 0.596333 1.6415
0.698 0.5975 1.64399
0.699 0.597933 1.64514
0.7 0.5986 1.64679
0.701 0.598933 1.6475
0.702 0.5995 1.64871
0.703 0.599967 1.64971
0.704 0.600467 1.65122
0.705 0.6011 1.65279
0.706 0.601733 1.65347
0.707 0.602033 1.65411
0.708 0.602033 1.65411
0.709 0.6024 1.65489
0.71 0.602033 1.65433
0.711 0.602367 1.65504
0.712 0.602267 1.65483
0.713 0.6028 1.65574
0.714 0.602667 1.65546
0.715 0.6034 1.65702
0.716 0.603 1.65595
0.717 0.603967 1.65778
0.718 0.604167 1.65865
0.719 0.6047 1.65956
0.72 0.605233 1.66091
0.721 0.604933 1.65983
0.722 0.604833 1.6594
0.723 0.604867 1.65991
0.724 0.604967 1.6599
0.725 0.6046 1.6589
0.726 0.605333 1.66046
0.727 0.604833 1.65918
0.728 0.6043 1.65827
0.729 0.604767 1.65948
0.73 0.605333 1.6609
0.731 0.605433 1.66112
0.732 0.605733 1.66086
0.733 0.605833 1.66108
0.734 0.606333 1.66214
0.735 0.6061 1.6612
0.736 0.606733 1.6621
0.737 0.606233 1.66081
0.738 0.606667 1.66173
0.739 0.6066 1.66181
0.74 0.606767 1.66261
0.741 0.607033 1.66318
0.742 0.607933 1.66508
0.743 0.608233 1.66594
0.744 0.608533 1.66635
0.745 0.6086 1.66627
0.746 0.6088 1.66581
0.747 0.6095 1.66729
0.748 0.609367 1.66767
0.749 0.609667 1.66831
0.75 0.609367 1.66767
0.751 0.6101 1.66922
0.752 0.610233 1.66906
0.753 0.610433 1.66904
0.754 0.6107 1.6696
0.755 0.611333 1.67094
0.756 0.612 1.67257
0.757 0.611467 1.67144
0.758 0.611867 1.67206
0.759 0.6116 1.67172
0.76 0.611533 1.6718
0.761 0.6119 1.6728
0.762 0.6123 1.67364
0.763 0.6121 1.67278
0.764 0.612367 1.67334
0.765 0.6126 1.67361
0.766 0.613133 1.67451
0.767 0.613667 1.67564
0.768 0.614033 1.67641
0.769 0.614867 1.67794
0.77 0.6155 1.67927
0.771 0.615933 1.68018
0.772 0.615633 1.67888
0.773 0.615933 1.67996
0.774 0.616467 1.68108
0.775 0.6171 1.68219
0.776 0.617533 1.6831
0.777 0.6176 1.68346
0.778 0.6178 1.68388
0.779 0.6178 1.68366
0.78 0.617667 1.68338
0.781 0.617867 1.6838
0.782 0.618367 1.68484
0.783 0.6181 1.68451
0.784 0.6191 1.68683
0.785 0.619233 1.68733
0.786 0.618867 1.68656
0.787 0.618767 1.68613
0.788 0.6189 1.68641
0.789 0.618767 1.68613
0.79 0.618833 1.68649
0.791 0.619233 1.68688
0.792 0.6191 1.6866
0.793 0.619233 1.68644
0.794 0.619533 1.68729
0.795 0.619133 1.68667
0.796 0.619133 1.6869
0.797 0.6194 1.68745
0.798 0.620333 1.68941
0.799 0.620933 1.69066
0.8 0.621433 1.69193
0.801 0.622167 1.69369
0.802 0.622333 1.69359
0.803 0.6222 1.69353
0.804 0.622933 1.69507
0.805 0.622967 1.69536
0.806 0.6233 1.69583
0.807 0.623133 1.69504
0.808 0.624033 1.69692
0.809 0.624233 1.69755
0.81 0.6247 1.69853
0.811 0.624567 1.69803
0.812 0.625033 1.699
0.813 0.625033 1.69922
0.814 0.624667 1.69868
0.815 0.624567 1.69914
0.816 0.624567 1.69914
0.817 0.6245 1.699
0.818 0.624867 1.69999
0.819 0.624833 1.69992
0.82 0.624633 1.6995
0.821 0.6252 1.70046
0.822 0.6254 1.70043
0.823 0.625567 1.70078
0.824 0.625933 1.70154
0.825 0.626333 1.70215
0.826 0.6265 1.70228
0.827 0.626933 1.70295
0.828 0.6272 1.70373
0.829 0.627667 1.70492
0.83 0.627533 1.70465
0.831 0.627433 1.70444
0.832 0.627 1.70376
0.833 0.627067 1.70368
0.834 0.626967 1.70391
