# SPIKE SUSCEPTIBILITY SIMULATION
# -------------------------------
#
# N_neurons = 10000
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 500
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 0.003
# f_low = 0
# f_high = 50
#
# Data format:
# Frequency, Re(Suscept_1), Im(Suscept_1), Re(Suscept_2), Im(Suscept_2)
#
0.218,1.44526,0.600764,0.0427533,0.0221153
0.22,1.45683,0.604798,-0.0600572,-0.0220053
0.222,1.47187,0.653975,0.00402317,-0.0553521
0.224,1.45917,0.630794,-0.0530354,0.0139347
0.226,1.47703,0.650918,-0.00356316,0.00402658
0.228,1.48217,0.665245,0.0327046,0.000233692
0.23,1.46767,0.638928,0.00986876,-0.00694688
0.232,1.48092,0.674291,0.0078792,0.0631623
0.234,1.5158,0.702444,0.00880377,0.0358456
0.236,1.48138,0.676701,-0.0468314,-0.0225125
0.238,1.49858,0.700666,-0.0568517,0.010938
0.24,1.49799,0.683643,-0.0186959,0.0237061
0.242,1.51549,0.714419,0.00929162,-0.00673606
0.244,1.50842,0.716885,-0.0183134,0.0383989
0.246,1.52409,0.728161,-0.0199934,0.0148938
0.248,1.50345,0.731728,-0.013006,-0.00351995
0.25,1.51327,0.768482,0.0406386,0.0203232
0.252,1.50049,0.725977,-0.0341986,0.0207463
0.254,1.53996,0.751512,-0.0214546,0.0110336
0.256,1.57454,0.786166,0.00209707,0.0141596
0.258,1.52896,0.74925,-0.0294068,0.0196452
0.26,1.56144,0.816314,-0.0250422,-0.000294191
0.262,1.55333,0.804937,-0.0137112,0.0132734
0.264,1.58916,0.840933,-0.0302284,0.0176512
0.266,1.57356,0.810323,0.00932345,0.0152792
0.268,1.5837,0.856738,0.00728436,0.0328005
0.27,1.56399,0.840107,-0.0104097,0.0113712
0.272,1.57985,0.842851,0.000682696,0.0093992
0.274,1.60151,0.906395,-0.0100566,0.00984697
0.276,1.58708,0.841342,-0.00935712,0.0354408
0.278,1.59166,0.865585,-0.00652439,-0.00243866
0.28,1.61796,0.861574,-0.000520332,0.00384719
0.282,1.59774,0.911322,0.00244629,0.0342969
0.284,1.6273,0.937489,0.00812156,0.0207899
0.286,1.6245,0.978997,-0.00965831,0.034494
0.288,1.65809,0.959873,0.0391576,0.00453148
0.29,1.65426,0.979372,0.0125221,0.0498013
0.292,1.67547,0.982576,0.0157223,-0.0117925
0.294,1.63636,0.991579,-0.012082,0.0182412
0.296,1.67989,1.01022,0.0196512,-0.00465527
0.298,1.70111,1.00065,-0.00685531,0.0194264
0.3,1.70223,1.04547,0.000731063,0.000245852
0.302,1.74752,1.08157,-0.0174719,0.0028358
0.304,1.74046,1.04631,-0.011727,0.0154395
0.306,1.73437,1.07845,0.0177068,0.000364192
0.308,1.74847,1.10993,3.43293e-05,0.00649428
0.31,1.77932,1.1099,-0.035553,-0.00482598
0.312,1.77681,1.11377,-0.0248356,0.0146784
0.314,1.80868,1.12686,0.0146822,0.016769
0.316,1.76304,1.19861,-0.00128932,-0.00929013
0.318,1.73749,1.16069,0.00631494,0.0260825
0.32,1.7853,1.19745,-0.000804111,0.00696073
0.322,1.80384,1.21285,-0.00213864,0.022954
0.324,1.88155,1.23556,-0.00287193,0.0152523
0.326,1.86239,1.20517,0.00245057,0.0265591
0.328,1.83836,1.23134,-0.00999599,0.00960264
0.33,1.86526,1.32616,-0.00214201,0.0238562
0.332,1.87582,1.28571,0.00578758,0.0154893
0.334,1.88977,1.30527,-0.0144604,0.00945626
0.336,1.93968,1.33022,0.00995255,0.0033636
0.338,1.87603,1.28245,0.0317044,0.0175743
0.34,2.02345,1.31356,-0.0070022,0.0205604
0.342,1.97111,1.42522,-0.0124482,0.0380227
0.344,1.96373,1.39187,0.016913,0.0162176
0.346,2.02374,1.36009,-0.00264175,0.0141428
0.348,2.02207,1.41673,-0.0107189,0.0221194
0.35,2.00754,1.43389,-0.0109456,-0.00411763
0.352,2.08586,1.3958,0.00566155,0.0217512
0.354,2.14542,1.46696,0.0100618,0.00780104
0.356,2.22265,1.55271,-0.0179457,0.00914615
0.358,2.19577,1.56212,0.00778312,0.0275656
0.36,2.27741,1.50873,0.0233098,0.0118244
0.362,2.18391,1.52343,-0.0134611,-0.000747791
0.364,2.25963,1.49437,0.0243979,0.0223604
0.366,2.30381,1.57612,0.00788319,0.0383611
0.368,2.27432,1.58131,-0.00188856,0.0261389
0.37,2.40319,1.59838,0.0401126,0.0214298
0.372,2.47667,1.61918,0.0125479,-0.0132518
0.374,2.46568,1.66372,-0.0132182,-0.00745832
0.376,2.43973,1.69883,0.0098265,0.0200273
0.378,2.56803,1.72796,-0.000821314,0.0149368
0.38,2.59416,1.78299,-0.00702112,0.042968
0.382,2.61136,1.76014,0.00875947,-0.0119848
0.384,2.64711,1.692,0.00642064,0.0160382
0.386,2.72116,1.84005,-0.0299696,0.0138718
0.388,2.63824,1.78982,-0.00592693,-0.00676732
0.39,2.84348,1.78855,-0.0161005,0.0077094
0.392,2.95412,1.80759,0.00197247,0.0438567
0.394,2.85016,1.87293,0.0074303,0.0144576
0.396,3.04481,1.75225,0.0161738,0.0107102
0.398,3.07871,1.75726,0.00764582,0.0149964
0.4,3.06231,1.69039,0.00672687,0.0117364
0.402,3.10162,1.85304,0.00704375,0.0272938
0.404,3.20957,1.88213,0.0376928,0.00646359
0.406,3.29667,1.73474,-0.0113026,0.0164616
0.408,3.38836,1.85176,0.0444116,0.0106207
0.41,3.46055,1.71316,0.0288344,-0.0104354
0.412,3.49581,1.78661,0.00895764,-0.00464393
0.414,3.62859,1.72223,0.0219107,0.000578649
0.416,3.65195,1.84555,0.0215528,-0.00445858
0.418,3.80084,1.6998,0.0163332,-0.00937972
0.42,3.8356,1.704,0.0256978,0.0117103
0.422,3.91479,1.76601,0.032696,0.0420313
0.424,3.93564,1.61224,0.0348951,0.00506801
0.426,3.94531,1.4025,0.0141804,-0.0035544
0.428,4.0049,1.44415,0.00516724,0.00645895
0.43,4.26308,1.43712,0.0233143,-0.0151233
0.432,4.29795,1.43003,0.0312532,0.0280713
0.434,4.43553,1.10826,0.0168803,0.0195395
0.436,4.55076,1.26128,0.0716702,0.0265018
0.438,4.51682,1.17947,0.0247247,0.0369911
0.44,4.59908,1.00604,-0.0255018,0.0144482
0.442,4.58578,0.745206,0.0109485,0.0237218
0.444,4.91807,0.606346,0.033045,0.011763
0.446,4.86117,0.431328,0.0286167,0.0190902
0.448,4.8729,0.406342,0.0365622,0.0209591
0.45,4.8611,0.312944,0.00382082,0.00126553
0.452,4.72553,0.331952,0.0299699,-0.0154919
0.454,4.75837,0.381569,0.00731894,0.0196833
0.456,4.65498,-0.104612,0.0144247,0.0101934
0.458,4.75427,0.0397534,0.022457,-0.00510324
0.46,4.87637,-0.207189,0.0632799,0.00193127
0.462,4.76794,-0.218776,0.0568131,0.00576669
0.464,4.69568,-0.39263,0.0186787,-0.0177814
0.466,4.66679,-0.456907,0.0214169,0.00259002
0.468,4.54282,-0.836004,0.035978,-0.0106017
0.47,4.56503,-0.698743,0.0192565,0.00624231
0.472,4.52932,-0.620143,0.0365766,0.00868089
0.474,4.59,-0.757201,0.0381146,0.0214397
0.476,4.47354,-1.00039,0.00392602,-0.0127767
0.478,4.39146,-1.08801,0.0303535,0.0304865
0.48,4.19571,-0.996073,0.026147,-0.0191719
0.482,4.22283,-1.22475,0.040892,-0.0127948
0.484,4.22738,-1.21642,0.0363674,0.0210257
0.486,4.17993,-1.22248,0.0213826,-0.0333866
0.488,4.00359,-1.26125,-0.00337719,-0.0322578
0.49,3.7386,-1.22311,-0.0195259,0.0152866
0.492,3.7829,-1.55076,0.0428454,-0.00741036
0.494,3.78075,-1.33794,0.022186,-0.0163807
0.496,3.74859,-1.31433,-0.00925407,0.00256774
0.498,3.81904,-1.48486,-0.0155296,-0.00353457
0.5,3.64233,-1.26201,0.0174907,0.00487932
0.502,3.63782,-1.37246,0.024903,0.0286985
0.504,3.53076,-1.36136,0.00752446,-0.0210056
0.506,3.39223,-1.44253,0.0208123,-0.0421678
0.508,3.40765,-1.45295,0.00461749,-0.00145517
0.51,3.31183,-1.39038,0.0558614,-0.017521
0.512,3.35118,-1.52596,-0.0107926,-0.0143229
0.514,3.23747,-1.52474,0.0281115,-0.00462525
0.516,3.12995,-1.39294,0.0196461,-0.0302801
0.518,3.08825,-1.34985,0.0159047,-0.027073
0.52,3.01757,-1.44123,0.0103341,0.00111169
0.522,3.0021,-1.43736,0.00428804,0.00431254
0.524,2.91146,-1.36058,0.00676544,0.0239797
0.526,2.83036,-1.42231,0.00289694,-0.0116578
0.528,2.82586,-1.43647,-0.0104538,-0.0230794
0.53,2.81399,-1.4157,0.0091911,-0.0122832
0.532,2.79024,-1.30163,-0.00173617,-0.0104626
0.534,2.61066,-1.44897,-0.000649873,0.0123406
0.536,2.66658,-1.40896,0.0226748,-0.0390251
0.538,2.68084,-1.38163,-0.00189589,-0.0252803
0.54,2.70163,-1.41167,0.00962247,0.00376523
0.542,2.55835,-1.28171,-0.0133006,0.00438557
0.544,2.54328,-1.36648,0.0175405,-0.0238495
0.546,2.57556,-1.32049,0.024597,0.00848588
0.548,2.5158,-1.362,-0.00313356,-0.0150763
0.55,2.44615,-1.26717,0.0106875,0.0238903
0.552,2.49796,-1.19603,-0.0248935,0.0154857
0.554,2.40219,-1.29977,-0.000316831,-0.00813357
0.556,2.3723,-1.22206,0.0251466,-0.0232001
0.558,2.4015,-1.21775,-0.00528909,-0.0215402
0.56,2.37484,-1.18824,0.0101863,-0.00972656
0.562,2.39041,-1.23032,0.0404336,-0.023608
0.564,2.41487,-1.18962,-0.00487572,-0.0131297
0.566,2.39207,-1.08863,0.0136525,0.000924729
0.568,2.37336,-1.14293,0.0074767,-0.0213255
0.57,2.24422,-1.18002,0.0177006,-0.0522931
0.572,2.33013,-1.09599,0.0119616,-0.00503167
