# SPIKE SUSCEPTIBILITY SIMULATION
# -------------------------------
#
# N_neurons = 10000000
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 500
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 0.0003
# f_low = 0
# f_high = 50
#
# Data format:
# Frequency, Re(Suscept_1), Im(Suscept_1), Re(Suscept_2), Im(Suscept_2)
#
0,387.346,0,353.597,0
0.002,1.48497,0.00524767,-0.00202926,0.000130912
0.004,1.48456,0.0131522,-0.00223276,0.000672103
0.006,1.48522,0.0207419,-0.00345002,0.000107641
0.008,1.48493,0.0274587,-0.00224657,0.00010496
0.01,1.48598,0.0321677,-0.00157244,-0.00114669
0.012,1.48585,0.0413473,-0.000998055,-0.000329309
0.014,1.48537,0.0474537,-0.000660324,-4.94952e-05
0.016,1.48549,0.0543578,-0.00253075,-0.00018071
0.018,1.48622,0.0608082,-0.00163962,0.000556295
0.02,1.48557,0.0661621,-0.00131111,-0.000579369
0.022,1.48509,0.0726688,-0.00162467,-0.00110531
0.024,1.48425,0.0807136,-0.000971255,1.38011e-05
0.026,1.48633,0.0883154,-0.000788373,-0.00107543
0.028,1.48534,0.0943771,-0.00204299,-0.000442377
0.03,1.48559,0.100536,-0.000768245,-0.00118954
0.032,1.48768,0.108979,-0.00203346,-0.000503765
0.034,1.48576,0.114394,-0.00264131,-0.000925208
0.036,1.48646,0.123719,-0.00127665,-0.00246258
0.038,1.48489,0.127859,-0.00188945,-0.000373139
0.04,1.48498,0.135598,-0.00194099,0.000567284
0.042,1.48551,0.141885,-0.000479419,-0.00129858
0.044,1.4859,0.149358,-0.00106686,-0.00125789
0.046,1.48664,0.155392,-0.00223378,-0.00043448
0.048,1.48629,0.161422,-0.00163166,-0.00073794
0.05,1.48648,0.169514,-0.00152489,-0.00131461
0.052,1.48537,0.175318,-0.00332383,-0.00182316
0.054,1.48469,0.18443,-0.00243051,-0.0011117
0.056,1.48554,0.190387,-0.00272543,-0.00123677
0.058,1.48569,0.197246,-0.002995,-0.00160472
0.06,1.48537,0.205092,-0.000888582,-0.000508087
0.062,1.486,0.20939,-0.000872331,-0.00139572
0.064,1.48548,0.219365,-0.000820209,-0.000374903
0.066,1.48688,0.226487,-0.00154044,-0.00259136
0.068,1.48589,0.232749,-0.00083399,-0.00175972
0.07,1.48715,0.238565,-0.00121307,-0.00264846
0.072,1.48669,0.247198,-0.00111548,-0.00291568
0.074,1.48565,0.253885,-0.00255139,-0.00190589
0.076,1.48545,0.260148,-0.000813474,-0.00281157
0.078,1.4873,0.268405,-0.000814273,-0.00208404
0.08,1.48656,0.274301,-0.00128926,-0.00123174
0.082,1.48697,0.282619,-0.00163567,-0.00258315
0.084,1.48619,0.291774,-0.00105347,-0.00309016
0.086,1.48684,0.297478,-0.00115868,-0.00291157
0.088,1.48771,0.304562,-0.00175349,-0.00263041
0.09,1.48788,0.3108,-0.00254459,-0.00362942
0.092,1.4872,0.319151,-0.00276277,-0.00308009
0.094,1.48816,0.326985,-0.0014625,-0.00242385
0.096,1.48658,0.334277,-0.00327685,-0.00284379
0.098,1.48776,0.341977,-8.66742e-05,-0.00392906
0.1,1.48741,0.349057,-0.0011518,-0.00231594
0.102,1.48764,0.356939,-0.00106737,-0.00382357
0.104,1.48786,0.362924,-0.00255474,-0.00134511
0.106,1.48642,0.373192,-0.00286764,-0.00491294
0.108,1.48688,0.380827,-0.00256419,-0.00424092
0.11,1.48618,0.389429,-0.00208423,-0.00496446
0.112,1.4885,0.396087,-0.00283677,-0.00458409
0.114,1.48759,0.403827,-0.00155991,-0.00448076
0.116,1.48723,0.411116,-0.00446511,-0.00441454
0.118,1.48884,0.421101,-0.00116585,-0.00483467
0.12,1.48568,0.428052,-0.00011733,-0.00437547
0.122,1.49021,0.43418,-0.000578388,-0.00509373
0.124,1.48746,0.44393,-0.00244873,-0.00519667
0.126,1.48923,0.452015,-0.00142908,-0.00541878
0.128,1.48958,0.460661,-0.0023157,-0.00594202
0.13,1.4904,0.468319,-0.00260357,-0.0057811
0.132,1.48914,0.476693,-0.00276977,-0.00518913
0.134,1.48925,0.485404,-0.00247616,-0.00584257
0.136,1.48751,0.494723,-0.00580479,-0.00654447
0.138,1.48859,0.503264,-0.000874157,-0.00773903
0.14,1.49017,0.510149,-0.00190182,-0.00605665
0.142,1.48957,0.518016,-0.00333297,-0.00536943
0.144,1.49092,0.528503,-0.00308516,-0.00675656
0.146,1.49163,0.539034,-0.00488704,-0.00782081
0.148,1.48986,0.545362,0.000107785,-0.00951886
0.15,1.49096,0.554941,-0.00215195,-0.00733529
0.152,1.49177,0.56516,-0.000509636,-0.00710741
0.154,1.48951,0.573989,0.000320977,-0.00895553
0.156,1.4919,0.582412,3.47582e-05,-0.0112241
0.158,1.49054,0.592685,0.000894018,-0.00808762
0.16,1.49067,0.601016,-2.10986e-05,-0.010529
0.162,1.49153,0.611489,-0.00471837,-0.00996179
0.164,1.49124,0.6218,-0.00656687,-0.0109979
0.166,1.49057,0.629755,-0.00456711,-0.0136351
0.168,1.49219,0.639714,-0.00324695,-0.00878632
0.17,1.49156,0.647878,-0.00339361,-0.0189734
0.172,1.49322,0.659341,-0.00607484,-0.0119412
0.174,1.49524,0.668611,-0.00829298,-0.0163871
0.176,1.49355,0.677421,-0.00609043,-0.0168356
0.178,1.49512,0.689657,-0.00110762,-0.0165943
0.18,1.49506,0.697138,-0.000106589,-0.0209721
0.182,1.49432,0.709209,0.00220156,-0.0216056
0.184,1.49569,0.71923,-0.0112007,-0.0181245
0.186,1.49507,0.731241,0.00797714,-0.0235572
0.188,1.49555,0.741575,-0.00974832,-0.0227593
0.19,1.49574,0.753542,-0.0177336,-0.0266198
0.192,1.49833,0.76261,-0.010116,-0.0335786
0.194,1.49657,0.772856,-0.0205614,-0.033577
0.196,1.49735,0.785521,-0.0118014,-0.0341499
0.198,1.49872,0.799071,-0.0320095,-0.0420191
0.2,1.49854,0.808777,-0.0316082,-0.0467473
0.202,1.4978,0.823141,-0.0473822,-0.0306974
0.204,1.50019,0.830933,-0.0345637,-0.038936
0.206,1.49837,0.843392,-0.0290247,-0.0639012
0.208,1.49925,0.858601,-0.0379884,-0.053392
0.21,1.49904,0.867348,-0.0567089,-0.0390759
0.212,1.5013,0.879149,-0.057774,-0.0129863
0.214,1.50371,0.892525,-0.0658377,-0.00289712
0.216,1.50112,0.905717,-0.0612708,-0.0107801
0.218,1.50409,0.921337,-0.0792749,0.00452308
0.22,1.50653,0.930749,-0.0883704,-0.00957296
0.222,1.50345,0.944461,-0.0720768,0.0349265
0.224,1.50613,0.959149,-0.0417741,0.0168617
0.226,1.50626,0.973396,-0.0653291,0.037964
0.228,1.50749,0.986117,-0.0485131,0.0284413
0.23,1.50722,1.00256,-0.0326363,0.0393895
0.232,1.50726,1.01382,-0.0198206,0.0237857
0.234,1.50858,1.03074,-0.0371079,0.0361299
0.236,1.51168,1.04541,-0.0251481,0.0157316
0.238,1.51188,1.05907,-0.0334886,0.0234229
0.24,1.51315,1.07663,-0.02124,0.0360596
0.242,1.51458,1.08826,-0.0258742,0.0241556
0.244,1.51815,1.10537,-0.0228948,0.0351055
0.246,1.51365,1.1221,-0.0184712,0.0319165
0.248,1.51793,1.13645,-0.0168021,0.0135505
0.25,1.51927,1.153,-0.0248542,0.0275001
0.252,1.52181,1.17126,-0.00617329,0.0197176
0.254,1.52284,1.18751,-0.0213088,0.0320299
0.256,1.52275,1.20626,-0.0211109,0.021038
0.258,1.5257,1.22235,-0.00998581,0.0229061
0.26,1.52825,1.23972,-0.0189181,0.0176825
0.262,1.53022,1.26127,-0.0202912,0.0199284
