# SPIKE SUSCEPTIBILITY SIMULATION
# -------------------------------
#
# N_neurons = 100000
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 500
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 0.003
# f_low = 0
# f_high = 50
#
# Data format:
# Frequency, Re(Suscept_1), Im(Suscept_1), Re(Suscept_2), Im(Suscept_2)
#
0,126.999,0,36.6614,0
0.002,1.36643,0.00933222,4.60801e-05,-0.000643406
0.004,1.36369,0.00556342,0.000683646,-0.000533007
0.006,1.36455,0.0201842,-0.000240325,-0.00159001
0.008,1.36642,0.0148686,0.00162866,0.000619899
0.01,1.36726,0.0207678,-0.00070656,0.000766907
0.012,1.36356,0.0286059,0.00114833,-0.00113806
0.014,1.36661,0.0313726,-0.00131599,-0.00358532
0.016,1.36862,0.0368001,-0.0010153,-0.000377234
0.018,1.37235,0.0392346,-0.00122217,-0.00114086
0.02,1.36847,0.0469853,0.000871276,0.00143609
0.022,1.36495,0.0480934,0.000243255,-0.000668114
0.024,1.36514,0.0528919,-0.00163633,-0.00129525
0.026,1.36996,0.0620698,-0.000134873,0.00172575
0.028,1.36308,0.0636024,-0.000891949,0.000887456
0.03,1.37218,0.0639586,-0.000616933,0.000500193
0.032,1.36991,0.0743249,-0.00158025,-0.000102032
0.034,1.36787,0.0770561,-0.000947668,-0.000252203
0.036,1.36717,0.0826684,-0.00137795,-0.000299419
0.038,1.36561,0.089378,-0.00187203,0.00156848
0.04,1.36753,0.0937464,-0.000900595,-0.00117047
0.042,1.36527,0.0963141,-0.000186678,0.00158033
0.044,1.36819,0.100203,-0.000132654,-0.00127685
0.046,1.37117,0.111239,-0.00264111,0.000483725
0.048,1.36665,0.110111,0.000710373,-0.000899344
0.05,1.37266,0.119876,-0.000819424,-1.25086e-05
0.052,1.37175,0.115468,-0.00287031,-0.000651195
0.054,1.36808,0.121949,-0.000158996,-0.00237718
0.056,1.37199,0.133558,-0.00119106,-0.00119231
0.058,1.37128,0.134973,-0.00121075,-0.00149842
0.06,1.37294,0.142496,-0.00231833,0.00123238
0.062,1.37215,0.1499,0.00115201,-0.00181027
0.064,1.3726,0.151591,-0.00223617,-0.00211801
0.066,1.36834,0.159357,-0.000432548,-0.0021963
0.068,1.37829,0.158741,-0.00361003,-0.00107291
0.07,1.3743,0.159644,0.00103172,-0.000721744
0.072,1.37413,0.171344,-0.00171181,-0.00177846
0.074,1.37655,0.173299,-0.0012909,0.0004834
0.076,1.37774,0.178224,-0.00260006,0.00143399
0.078,1.37481,0.18256,-0.00182485,-0.000538403
0.08,1.37212,0.188624,-0.00131762,-0.00469425
0.082,1.37573,0.185768,-0.00244408,0.00158616
0.084,1.37993,0.195193,-0.00176675,-0.00343637
0.086,1.37199,0.205359,-0.00148282,-0.00390392
0.088,1.37852,0.213425,-0.00143394,-0.00275552
0.09,1.37924,0.217884,-0.000273706,-0.00219518
0.092,1.38082,0.220034,-0.00211258,-0.00150666
0.094,1.37605,0.217385,-0.000700987,-0.00229792
0.096,1.38005,0.228117,-0.00160999,-0.00310679
0.098,1.38307,0.234758,-0.00254837,-0.00168582
