# SPIKE SUSCEPTIBILITY SIMULATION
# -------------------------------
#
# N_neurons = 10000
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 500
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 0.0003
# f_low = 0
# f_high = 50
#
# Data format:
# Frequency, Re(Suscept_1), Im(Suscept_1), Re(Suscept_2), Im(Suscept_2)
#
0,385.799,0,352.185,0
0.002,1.47111,-0.0184168,0.0182926,0.0100959
0.004,1.50219,0.0471604,-0.00867726,-0.0207099
0.006,1.50605,-0.00490891,0.0160341,-0.0576838
0.008,1.47224,-0.00544674,-0.020045,0.00560341
0.01,1.57793,0.0143723,0.0114128,0.00429725
0.012,1.52771,0.0511763,-0.0175245,0.0067201
0.014,1.4977,0.00830455,-0.0474694,-0.0111234
0.016,1.51522,0.0716764,-0.0248947,-0.0023411
0.018,1.47292,0.039496,0.0369696,0.0227026
0.02,1.4615,0.0780795,-0.0063773,-0.0195336
0.022,1.48174,0.0676616,0.00638235,0.0116152
0.024,1.47752,0.0566712,0.00266465,0.0185661
0.026,1.50537,0.110011,0.0395079,-0.0145159
0.028,1.45942,0.0779281,0.0242247,-0.0216
0.03,1.50396,0.125704,-0.0269142,-0.0270504
0.032,1.47321,0.134632,-0.00160154,0.0105272
0.034,1.46642,0.0719279,0.00769644,-0.0077677
0.036,1.47589,0.121777,0.0468151,-0.00702885
0.038,1.49171,0.088046,0.0337081,-0.00892946
0.04,1.46189,0.109504,0.00788463,0.00588544
0.042,1.49974,0.172599,0.0526501,0.00614374
0.044,1.48664,0.136509,-0.014712,0.0333099
0.046,1.48597,0.18219,-0.0152458,-0.0193932
0.048,1.45507,0.17155,0.00605036,-0.0124445
0.05,1.4922,0.192023,-0.0180029,0.0670959
0.052,1.51948,0.184144,-0.0491711,0.0178755
0.054,1.47473,0.20118,0.00839426,0.0123704
0.056,1.45494,0.240511,0.00263823,0.0165604
0.058,1.42879,0.217914,-0.0248449,0.0665773
0.06,1.47338,0.178152,-0.0160808,-0.0220248
0.062,1.47616,0.180769,-0.00907425,0.0158675
0.064,1.49444,0.247772,0.0181955,-0.00171922
0.066,1.4811,0.223411,-0.0142978,0.00343189
0.068,1.476,0.265124,-0.0076213,0.0101175
