# SPIKE SUSCEPTIBILITY SIMULATION
# -------------------------------
#
# N_neurons = 1000000
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 500
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 0.003
# f_low = 0
# f_high = 50
#
# Data format:
# Frequency, Re(Suscept_1), Im(Suscept_1), Re(Suscept_2), Im(Suscept_2)
#
0,127.054,0,36.6774,0
0.002,1.36549,0.00486135,-0.00141846,0.000814815
0.004,1.36478,0.00794975,-0.000343396,0.000476496
0.006,1.36603,0.0140804,-0.000390206,-0.000209527
0.008,1.36494,0.0187448,-0.00042734,-0.000481709
0.01,1.36504,0.0234035,-0.00147316,-0.000598516
0.012,1.36576,0.0272086,-0.00165824,-0.000253843
0.014,1.36597,0.032291,-0.000252851,-0.000393657
0.016,1.36568,0.0362886,-0.00121681,-0.000371423
0.018,1.36638,0.0420014,-0.001528,0.000201094
0.02,1.36594,0.0474839,-0.000699849,-0.000342996
0.022,1.36648,0.0512701,-0.00100205,-0.000145506
0.024,1.36604,0.0554428,-0.000969037,-0.000895886
0.026,1.36721,0.0589018,-0.000330163,0.000190924
0.028,1.36489,0.0658392,-0.000733521,-0.000504629
0.03,1.36738,0.0703054,-0.00106692,-0.000207038
0.032,1.36624,0.0740198,-0.00149073,-0.000734121
0.034,1.36894,0.0783857,-0.000599947,-0.000203711
0.036,1.36942,0.0811898,-0.00166215,-0.000387498
0.038,1.36773,0.0885783,-0.00106918,-0.000647788
0.04,1.36891,0.0923384,-0.00112699,-0.000593935
0.042,1.36824,0.0962978,-0.000505166,-0.000807974
0.044,1.36878,0.10051,-0.000967326,-0.000311631
0.046,1.37042,0.105601,-0.000822654,-0.000209896
0.048,1.3698,0.111684,-0.000438395,7.53342e-05
0.05,1.37133,0.115928,-0.000792632,-0.000606956
0.052,1.3705,0.119965,-0.000401986,-0.00045568
0.054,1.37005,0.126588,-0.00178285,-0.0012817
0.056,1.37106,0.131022,-0.00129915,-0.00025582
0.058,1.37232,0.134797,-0.000884448,-0.00087798
0.06,1.37134,0.140094,-0.00162443,-0.000588691
0.062,1.37319,0.144339,-0.00130845,-0.00117027
