# SPIKE SUSCEPTIBILITY SIMULATION
# -------------------------------
#
# N_neurons = 10000000
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 500
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 0.003
# f_low = 0
# f_high = 50
#
# Data format:
# Frequency, Re(Suscept_1), Im(Suscept_1), Re(Suscept_2), Im(Suscept_2)
#
0,127.057,0,36.6783,0
0.002,1.36584,0.00454777,-0.00101081,-2.68342e-05
0.004,1.36595,0.00922396,-0.000880825,-0.000139091
0.006,1.36641,0.0143257,-0.0011279,0.00012714
0.008,1.36638,0.0185107,-0.00101556,1.9916e-05
0.01,1.36609,0.0231724,-0.000825604,-0.00013962
0.012,1.3662,0.027902,-0.00087721,0.000171071
0.014,1.36607,0.032451,-0.000954942,-0.000235553
0.016,1.36682,0.0371031,-0.000909485,-0.000152897
0.018,1.36635,0.0412399,-0.000937098,-6.86467e-05
0.02,1.3665,0.0462008,-0.000891926,-0.000163277
0.022,1.3669,0.0511516,-0.000956217,-0.000257249
0.024,1.36688,0.0553293,-0.000856601,-0.000364004
0.026,1.36661,0.0603069,-0.00105494,-0.000244411
0.028,1.36712,0.0650477,-0.00108106,-0.000290203
0.03,1.36716,0.0699203,-0.00106483,-0.000438408
0.032,1.36757,0.0741656,-0.00110417,-0.000302376
0.034,1.36719,0.078703,-0.00102791,-0.000404362
0.036,1.36851,0.0837357,-0.00108971,-0.000205476
0.038,1.36842,0.0882412,-0.000925994,-0.000409011
0.04,1.36896,0.0924735,-0.000963749,-0.000207265
0.042,1.36896,0.0971789,-0.00114466,-0.000530035
0.044,1.36917,0.101762,-0.0010031,-0.000595938
0.046,1.36932,0.107145,-0.000930451,-0.0004874
0.048,1.36944,0.111898,-0.000844771,-0.000650237
0.05,1.37036,0.116366,-0.00103422,-0.000615577
0.052,1.37043,0.121418,-0.00110987,-0.000461493
0.054,1.37052,0.125508,-0.00107021,-0.000680521
0.056,1.37171,0.130423,-0.001095,-0.000545521
0.058,1.37142,0.135348,-0.00122973,-0.000815639
0.06,1.37233,0.140154,-0.00103346,-0.000700414
0.062,1.37179,0.14464,-0.00118084,-0.000614689
0.064,1.37262,0.149818,-0.000847792,-0.00064061
0.066,1.37305,0.154658,-0.00119628,-0.00075948
0.068,1.37329,0.159479,-0.000961493,-0.000311159
0.07,1.37369,0.164664,-0.00114088,-0.000807702
0.072,1.37446,0.168871,-0.000972079,-0.000743563
0.074,1.37548,0.174009,-0.00149703,-0.000897586
0.076,1.37564,0.179424,-0.00121535,-0.000848398
0.078,1.37582,0.183588,-0.000991516,-0.00110273
