# SPIKE SUSCEPTIBILITY SIMULATION
# -------------------------------
#
# N_neurons = 1000000
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 500
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 0.0003
# f_low = 0
# f_high = 50
#
# Data format:
# Frequency, Re(Suscept_1), Im(Suscept_1), Re(Suscept_2), Im(Suscept_2)
#
0,387.336,0,353.588,0
0.002,1.48481,0.00285033,-0.00748986,-0.000718808
0.004,1.48804,0.0149222,-0.00181361,-0.000967594
0.006,1.48536,0.0223757,-8.53594e-06,0.000850123
0.008,1.4839,0.0291239,-0.00418922,0.001784
0.01,1.49065,0.0324523,-0.00094142,-0.00359911
0.012,1.48443,0.0359153,6.34718e-05,0.000391861
0.014,1.48788,0.0456141,0.00023253,0.000818373
0.016,1.4893,0.0507083,8.83683e-05,0.00186851
0.018,1.48064,0.05989,0.00029792,-0.000502165
0.02,1.48669,0.0673465,0.000217869,0.00145412
0.022,1.48685,0.0752467,5.28932e-05,0.00155942
0.024,1.48582,0.083365,0.000529772,-0.000529332
0.026,1.48543,0.0876588,-0.00176884,-0.00191481
0.028,1.48145,0.0963769,-0.00343312,-0.000822734
0.03,1.48396,0.0989051,-0.00339156,-0.000547379
0.032,1.486,0.105938,-0.00310075,-0.00398423
0.034,1.48583,0.115649,-0.00373891,-0.00404487
0.036,1.4815,0.12195,-0.00293894,0.00485481
0.038,1.48385,0.126819,-0.00155557,-0.00104432
0.04,1.48807,0.13657,-0.00428901,-0.00242699
0.042,1.48748,0.142653,-0.00308997,-0.000231885
0.044,1.48529,0.150208,-0.00113158,-0.00282987
0.046,1.48555,0.158154,-0.00416757,-0.000277084
0.048,1.48663,0.165755,-0.00285326,0.00115905
0.05,1.48644,0.172196,0.00254624,0.000346747
0.052,1.48397,0.178162,-0.00605948,-0.0058909
0.054,1.48615,0.177873,-0.00582049,0.00146961
0.056,1.48606,0.188129,0.00377509,-0.00193856
0.058,1.48867,0.196609,0.00224547,0.001634
0.06,1.49088,0.202236,0.0016267,-0.000529579
0.062,1.48601,0.20946,0.00135802,0.00364476
0.064,1.48515,0.215349,-0.00219139,-0.000266683
0.066,1.48778,0.224689,-0.000324207,-0.00195585
0.068,1.48514,0.232008,-0.00262406,-0.00151445
0.07,1.48889,0.2397,-0.0012991,-0.00275092
0.072,1.48593,0.247064,9.80511e-05,-0.004446
0.074,1.48494,0.253143,0.00421096,-0.00739154
0.076,1.4835,0.258053,-0.00108424,-0.00501436
0.078,1.4821,0.267087,-0.00198369,-0.00062061
0.08,1.487,0.279144,0.00100925,-0.00296313
0.082,1.4824,0.281835,-0.00375877,-0.00187776
0.084,1.49094,0.290942,0.00384848,-0.00144496
0.086,1.48376,0.29886,-0.00802008,0.0014372
0.088,1.48464,0.303005,0.00050141,-0.00772148
0.09,1.48699,0.311312,-0.00158301,-0.00243407
0.092,1.48803,0.321243,0.00346069,-0.00103821
0.094,1.48919,0.323798,-0.00757627,0.0048037
0.096,1.48756,0.332457,-0.00166709,-0.00518286
0.098,1.48431,0.338198,0.00315957,-0.00401383
0.1,1.48634,0.350154,-0.00570427,0.00079881
0.102,1.49091,0.35772,0.00172402,-0.00644087
0.104,1.48395,0.363248,-0.00323701,0.00159599
0.106,1.48697,0.367696,-0.00791738,-0.00112003
0.108,1.49053,0.379084,0.00758569,-0.00509418
0.11,1.48853,0.386956,-0.00474423,-0.00436779
0.112,1.48805,0.396156,-0.00382438,-0.0080666
0.114,1.48177,0.408788,-0.0127098,-0.00473285
0.116,1.48897,0.411116,-0.011535,-0.00178765
0.118,1.48821,0.423117,-0.00246416,-0.00391148
0.12,1.48335,0.428346,-0.00361859,-0.00975881
0.122,1.49136,0.438724,0.00463936,-7.03539e-05
0.124,1.48508,0.442542,-0.00759444,-0.00638055
0.126,1.48447,0.452357,0.000107221,-0.00674751
0.128,1.48834,0.462044,0.000292858,-0.00430089
0.13,1.48493,0.473233,-0.00115942,-0.0111286
0.132,1.48987,0.477959,-0.011154,-0.010119
0.134,1.49127,0.490962,-0.0083974,-0.00876517
0.136,1.48589,0.495875,-0.00484285,-0.00927382
0.138,1.4871,0.501134,-0.00235661,-0.0106057
0.14,1.48805,0.51098,0.00708948,-0.00943337
0.142,1.49112,0.522055,0.00151136,-0.000400345
0.144,1.48773,0.528574,-0.00673617,-0.0116403
0.146,1.49361,0.536395,-0.00447271,0.00214318
0.148,1.49716,0.547252,-0.0116518,-0.00330435
0.15,1.48855,0.546378,-0.0103401,-0.0117063
0.152,1.48925,0.563631,-0.00537167,0.00128622
0.154,1.49804,0.576079,-0.0113508,-0.0191054
0.156,1.48846,0.579952,0.00190291,-0.0158474
0.158,1.49112,0.586614,-0.00763145,-0.0066128
0.16,1.49338,0.603891,-0.00105831,-0.018626
0.162,1.49122,0.613498,-0.00142676,-0.0129364
0.164,1.4878,0.620021,-0.00453828,-0.00167616
0.166,1.49748,0.631537,0.000525635,-0.021233
0.168,1.49126,0.644106,0.0114153,-0.0137678
0.17,1.49378,0.647582,-0.0183975,-0.0110707
0.172,1.49049,0.660082,0.00926736,-0.0158702
0.174,1.48963,0.671178,-0.00521305,-0.0103813
0.176,1.49405,0.680311,-0.00741661,-0.0335767
0.178,1.49367,0.688458,-0.00156282,-0.0175741
0.18,1.49545,0.702381,-0.00606773,-0.0122074
0.182,1.49346,0.709169,-0.00568558,-0.0116019
0.184,1.49451,0.712393,0.0014045,-0.0176435
0.186,1.49582,0.72936,-0.0115904,-0.0183557
0.188,1.49734,0.741339,0.00538448,-0.021778
0.19,1.49239,0.754445,0.015265,-0.0220184
0.192,1.49984,0.763484,-0.0339924,-0.0559502
0.194,1.49932,0.770728,-0.0237594,0.0360709
0.196,1.49076,0.786388,-0.024011,-0.0494008
0.198,1.49865,0.791919,-0.0268268,-0.0456092
0.2,1.49819,0.806969,-0.0158012,-0.0888622
0.202,1.50172,0.820938,-0.0158431,-0.0450525
0.204,1.50082,0.831108,-0.0223366,-0.0315567
0.206,1.50043,0.842959,-0.0229038,-0.0698278
0.208,1.49678,0.859709,-0.00353296,-0.0983239
0.21,1.49573,0.871762,-0.073933,-0.0186155
0.212,1.49588,0.881794,-0.0234292,0.00416474
0.214,1.4989,0.90004,-0.0462106,-0.00402539
0.216,1.5052,0.913453,-0.0162667,0.030123
0.218,1.50212,0.910763,-0.107146,0.024339
0.22,1.50383,0.931405,-0.0467203,0.0530024
0.222,1.50425,0.946401,-0.0959011,0.000531496
0.224,1.50559,0.955857,-0.0572292,0.0319761
0.226,1.50665,0.971739,-0.0597391,-0.0165278
0.228,1.50815,0.991373,-0.0418436,0.0380565
0.23,1.51039,0.997668,-0.00915112,0.0120801
0.232,1.51299,1.0143,0.0039355,-0.0164658
0.234,1.5073,1.02626,-0.0509085,0.0361505
0.236,1.50491,1.04242,-0.0391257,0.0156517
0.238,1.5108,1.06129,-0.0289582,-0.00463292
0.24,1.50713,1.07564,-0.0354797,-0.012876
0.242,1.51141,1.08897,-0.0204626,0.0288544
0.244,1.51831,1.11471,-0.039069,0.0291638
0.246,1.5141,1.11653,-0.0222021,0.0265579
0.248,1.51773,1.13526,-0.0163126,0.0166602
0.25,1.52203,1.15484,-0.0191714,0.0222127
0.252,1.52566,1.16733,-0.0286063,0.0339383
0.254,1.51537,1.19521,-0.0186845,0.0260321
0.256,1.5305,1.19434,-0.00607873,0.0292257
0.258,1.52078,1.22794,-0.0110121,0.0183367
0.26,1.51862,1.24535,-0.0224911,0.000780253
0.262,1.52582,1.26129,-0.00180962,0.0350857
0.264,1.53198,1.28056,-0.0235941,0.00437027
0.266,1.53517,1.29741,-0.0256214,0.0321441
0.268,1.53096,1.31811,-0.0192032,0.0180928
0.27,1.53249,1.33123,-0.00654176,-0.00780249
0.272,1.53349,1.35906,-0.030507,0.00995471
0.274,1.5456,1.37992,-0.0038325,0.0358527
0.276,1.54512,1.40113,-0.0238028,-0.00218212
0.278,1.53583,1.41954,0.0216527,0.032446
0.28,1.55246,1.44771,-0.0225939,0.0289042
0.282,1.55952,1.46325,-0.000345074,0.0206493
0.284,1.55929,1.48632,-0.00984412,0.0215596
0.286,1.55495,1.51408,-0.0304362,0.0300353
0.288,1.55545,1.5403,-0.0123602,0.027989
0.29,1.55012,1.56069,-0.0143976,0.0140745
0.292,1.57476,1.58651,-0.0186087,0.02494
0.294,1.5726,1.61744,-0.012836,0.0235841
0.296,1.58685,1.63841,-0.0308403,0.0118547
0.298,1.5886,1.66656,-0.0328795,0.013527
0.3,1.58241,1.6957,-0.00476397,0.0329651
0.302,1.5927,1.72799,-0.0172125,0.00441127
0.304,1.58827,1.76006,-0.0124633,0.0129861
0.306,1.60343,1.78553,-0.0180047,0.0215102
0.308,1.60672,1.82256,0.00546625,0.00738852
0.31,1.60435,1.86562,-0.0247215,0.015689
0.312,1.62673,1.88991,-0.0206532,0.0446539
0.314,1.62218,1.91453,-0.002532,0.0024067
0.316,1.6377,1.96102,-0.012242,0.0116654
0.318,1.62991,1.99452,0.0155095,0.0103426
0.32,1.64847,2.03632,-0.00015329,0.0192951
0.322,1.66975,2.06287,-0.0157182,0.0283367
0.324,1.66916,2.10018,-0.0211277,0.0421524
0.326,1.67753,2.13906,-0.0108485,0.0310507
0.328,1.69884,2.18832,-0.0196511,0.0140588
0.33,1.69609,2.23439,-0.0267677,0.0172177
0.332,1.72715,2.27864,-0.0114001,0.0325868
0.334,1.72281,2.3411,-0.0202417,0.0269482
0.336,1.7422,2.37237,-0.031056,0.0142038
0.338,1.76322,2.43755,-0.0194442,0.0346148
0.34,1.79193,2.49279,-0.0101804,0.0351042
0.342,1.80477,2.52841,-0.0191872,0.0200825
0.344,1.81207,2.57982,-0.0271769,0.0409028
0.346,1.85164,2.65118,-0.017067,0.0258943
