# SusceptibilitySimulation
#
# Neuron parameters: 
# mu = 3.5
# D = 0.1
# tau_a = 10
# Delta = 0.1
#
# TimeFrame: 
# t_0 = 0
# t_end = 1000
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 1
# f_low = 0
# f_high = 50
#
# Data format:
# Frequency, Re(Susceptibility), Im(Susceptibility)
#
0.21,0.957137,0.066037
0.211,0.948389,0.0528543
0.212,0.948643,0.0643493
0.213,0.944701,0.0530501
0.214,0.948011,0.0606552
0.215,0.952836,0.0738816
0.216,0.955797,0.0527844
0.217,0.936198,0.0571518
0.218,0.95258,0.0398039
0.219,0.963529,0.0441705
0.22,0.954112,0.0460334
0.221,0.981864,0.0437369
0.222,0.943029,0.0463967
0.223,0.963326,0.0571587
0.224,0.93875,0.0543885
0.225,0.942846,0.059173
0.226,0.949557,0.0447293
0.227,0.945704,0.0408565
0.228,0.948325,0.0762876
0.229,0.964727,0.0361204
0.23,0.966793,0.0334931
0.231,0.948025,0.053425
0.232,0.972952,0.0572539
0.233,0.949639,0.0562294
0.234,0.943875,0.0453538
0.235,0.956892,0.047326
0.236,0.941956,0.0486641
0.237,0.957367,0.0388026
0.238,0.943463,0.0313633
0.239,0.945603,0.0534019
0.24,0.965567,0.0487177
0.241,0.942248,0.0521665
0.242,0.937522,0.0255532
0.243,0.958657,0.0387073
0.244,0.944031,0.0226902
0.245,0.946639,0.0295529
0.246,0.955121,0.0496191
0.247,0.954051,0.0458137
0.248,0.952149,0.0575204
0.249,0.957888,0.0548224
0.25,0.962032,0.0452508
0.251,0.974927,0.0411261
0.252,0.951338,0.025628
0.253,0.969944,0.0396305
0.254,0.939282,0.0301129
0.255,0.965124,0.027299
0.256,0.955498,0.0360406
0.257,0.962252,0.0265446
0.258,0.950546,0.0395828
0.259,0.927229,0.0188438
0.26,0.956025,0.0438958
0.261,0.959707,0.0442447
0.262,0.947808,0.0437156
0.263,0.961012,0.0255637
0.264,0.963226,0.0398876
0.265,0.971789,0.0456262
0.266,0.970381,0.0363101
0.267,0.947251,0.0260703
0.268,0.951694,0.0428549
0.269,0.95772,0.0352381
0.27,0.9291,0.0362417
0.271,0.955808,0.0292738
0.272,0.951574,0.030053
0.273,0.965639,0.0351653
0.274,0.942288,0.0196557
0.275,0.951695,0.0259932
0.276,0.949198,0.0338469
0.277,0.963162,0.0294816
0.278,0.954002,0.0319059
0.279,0.981201,0.0389815
0.28,0.966117,0.0395161
0.281,0.953434,0.0279873
0.282,0.952192,0.0422613
0.283,0.970224,0.0255171
0.284,0.965944,0.0516053
0.285,0.961803,0.0297119
0.286,0.957241,0.0530322
0.287,0.948152,0.0362507
0.288,0.952428,0.0418719
0.289,0.940286,0.0235589
0.29,0.950977,0.0302693
0.291,0.953289,0.0226552
0.292,0.967827,0.0295687
0.293,0.957763,0.0264525
0.294,0.973523,0.0292492
0.295,0.950108,0.0112454
0.296,0.960394,0.0352072
0.297,0.961643,0.0455728
0.298,0.962894,0.0195826
0.299,0.962566,0.0454333
0.3,0.952371,0.0519983
0.301,0.9618,0.0460554
0.302,0.975457,0.0379401
0.303,0.984155,0.0126226
0.304,0.969459,0.0128267
0.305,0.959051,0.0234162
0.306,0.956924,0.029915
0.307,0.954519,0.0304324
0.308,0.97945,0.0180839
0.309,0.974597,0.0239744
0.31,0.963529,0.0149595
0.311,0.979119,0.0296204
0.312,0.954318,0.0301008
0.313,0.965542,0.0315317
0.314,0.957387,0.020173
0.315,0.969175,0.0350148
0.316,0.955822,0.0204843
0.317,0.949467,0.0461346
0.318,0.96784,0.00938241
0.319,0.962267,0.028651
0.32,0.963532,0.00792796
0.321,0.968269,0.0356535
0.322,0.964322,0.0307128
0.323,0.946218,0.00679125
0.324,0.970234,0.0213263
0.325,0.964782,0.026791
0.326,0.972033,0.0135965
0.327,0.959115,0.0105464
0.328,0.96947,0.0119359
0.329,0.975732,0.032339
0.33,0.95269,0.0147759
0.331,0.969563,0.0371228
0.332,0.952148,0.0277458
0.333,0.958808,0.0130767
0.334,0.945077,0.0337419
0.335,0.961206,0.015913
0.336,0.970397,0.0246006
0.337,0.961029,0.0161616
0.338,0.969253,0.0100849
0.339,0.967017,0.0361227
0.34,0.948003,0.0327963
0.341,0.942375,0.0189248
0.342,0.949393,0.0307091
0.343,0.946213,0.00991814
0.344,0.965964,0.0398183
0.345,0.964819,0.0202623
0.346,0.962151,0.0084031
0.347,0.955859,0.0128406
0.348,0.983751,0.0177573
0.349,0.966575,0.0224442
0.35,0.95256,0.0187303
0.351,0.981029,0.00770143
0.352,0.951403,0.0218344
0.353,0.978148,0.0141666
0.354,0.979585,0.0182798
0.355,0.985366,0.0316318
0.356,0.977993,0.0399834
0.357,0.941585,0.0045214
0.358,0.975386,0.0308609
0.359,0.944817,0.0167822
0.36,0.964502,0.0125932
0.361,0.963139,0.0203348
0.362,0.986483,0.0126048
0.363,0.957355,0.0123558
0.364,0.947749,-0.00967644
0.365,0.944519,0.0158352
0.366,0.964308,0.0463036
0.367,0.95889,0.0164004
0.368,0.957191,0.0228238
0.369,0.964057,0.0201675
0.37,0.986311,0.0147068
0.371,0.958112,-0.00352367
0.372,0.956192,0.0228426
0.373,0.956443,0.0119861
0.374,0.972573,0.0162855
0.375,0.961007,0.0313383
0.376,0.949501,0.00177644
0.377,0.973165,0.00606817
0.378,0.943056,0.0204057
0.379,0.966021,-0.0119481
0.38,0.984842,0.00183611
0.381,0.970754,0.0224926
0.382,0.963057,0.0242911
0.383,0.954396,-0.00322987
0.384,0.972549,0.0173344
0.385,0.97427,0.0150091
