0,0.404206
0.01,0.163081
0.02,0.105828
0.03,0.0781621
0.04,0.0604149
0.05,0.0489405
0.06,0.0404145
0.07,0.0335777
0.08,0.0285592
0.09,0.0246833
0.1,0.020653
0.11,0.0171513
0.12,0.015355
0.13,0.0135436
0.14,0.0113398
0.15,0.00958608
0.16,0.00875521
0.17,0.00691086
0.18,0.00600307
0.19,0.00482506
0.2,0.00397787
0.21,0.0033497
0.22,0.00220769
0.23,0.00213496
0.24,0.000918782
0.25,0.000675449
0.26,0.00158049
0.27,0.000788405
0.28,-0.000204497
0.29,9.86141e-05
0.3,0.000104046
0.31,-0.000738227
0.32,0.000365307
0.33,-0.000336236
0.34,-0.000608298
0.35,0.000228967
0.36,-5.70119e-05
0.37,0.000329612
0.38,6.47423e-05
0.39,0.000131758
0.4,0.000742521
0.41,0.000569682
0.42,0.000853819
0.43,0.000702343
0.44,0.000933382
0.45,0.00169725
0.46,0.00110349
0.47,0.0024408
0.48,0.00207037
0.49,0.00257399
0.5,0.00311115
0.51,0.00348165
0.52,0.00245747
0.53,0.00397462
0.54,0.00395302
0.55,0.00433339
0.56,0.00387349
0.57,0.00439784
0.58,0.00444138
0.59,0.00436993
0.6,0.00468775
0.61,0.00441665
0.62,0.00557507
0.63,0.00548251
0.64,0.0050656
0.65,0.00486222
0.66,0.0057768
0.67,0.00517725
0.68,0.00528557
0.69,0.00541814
0.7,0.00458805
0.71,0.00536243
0.72,0.00443973
0.73,0.00474363
0.74,0.00537958
0.75,0.00509433
0.76,0.00469032
0.77,0.00471331
0.78,0.00500222
0.79,0.00436657
0.8,0.00443306
0.81,0.00445938
0.82,0.00394275
0.83,0.00450651
0.84,0.0045888
0.85,0.00432166
0.86,0.00380338
0.87,0.00410275
0.88,0.0041274
0.89,0.0038549
0.9,0.00415043
0.91,0.00413834
0.92,0.00355266
0.93,0.00360976
0.94,0.00368212
0.95,0.00378008
0.96,0.00431171
0.97,0.00374372
0.98,0.00312483
0.99,0.00371011
1,0.00346336
1.01,0.00292094
1.02,0.00324903
1.03,0.00351911
1.04,0.00301527
1.05,0.00336263
1.06,0.00304831
1.07,0.00327919
1.08,0.00420734
1.09,0.00403893
1.1,0.00422381
1.11,0.00387238
1.12,0.00351501
1.13,0.00340087
1.14,0.0033846
1.15,0.00415617
1.16,0.00374903
1.17,0.00376511
1.18,0.00378408
1.19,0.00381178
1.2,0.00298293
1.21,0.00473898
1.22,0.00425811
1.23,0.00430793
1.24,0.00421265
1.25,0.00381564
1.26,0.00461641
1.27,0.00440704
1.28,0.00424307
1.29,0.0042784
1.3,0.00422076
1.31,0.00366923
1.32,0.00383734
1.33,0.00446663
1.34,0.00415403
