# SPIKE SUSCEPTIBILITY SIMULATION
# -------------------------------
#
# N_neurons = 10000
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 600
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 0.03
# f_low = 0
# f_high = 50
#
# Data format:
# Frequency, Re(Suscept_1), Im(Suscept_1), Re(Suscept_2), Im(Suscept_2)
#
0,4.63495e-12,0,4.06962e-25,0
0.00166667,1.48171,0.0351591,-0.070658,-0.00853096
0.00333333,1.5254,-0.0396473,0.147418,-0.0919977
0.005,1.58886,0.0366246,-0.0396713,0.00742299
0.00666667,1.42865,0.00154251,-0.0688164,0.437334
0.00833333,1.47586,0.169417,0.027958,-0.171115
0.01,1.36528,0.0805379,0.0602842,-0.0886399
0.0116667,1.54038,0.0235133,-0.265738,0.0741197
0.0133333,1.49908,-0.0971635,0.0567309,0.154334
0.015,1.49884,-0.0052453,-0.361362,-0.0117094
0.0166667,1.64024,0.110478,0.318116,-0.316143
0.0183333,1.62171,0.137083,-0.210008,-0.473974
0.02,1.44659,0.0503581,-0.135722,-0.00336742
0.0216667,1.44993,-0.00166674,0.213878,-0.490615
0.0233333,1.35548,0.073385,-0.083657,0.0194119
0.025,1.61176,0.0388219,-0.791575,0.0402002
0.0266667,1.4663,0.069822,-0.200186,-0.231965
0.0283333,1.48848,0.0831435,-0.215403,0.237206
0.03,1.5125,0.17365,0.201547,-0.164154
0.0316667,1.46276,0.122827,-0.102923,-0.29422
0.0333333,1.46614,0.151174,-0.179822,-0.178711
0.035,1.65633,0.109671,0.13153,-0.189661
0.0366667,1.52856,-0.0173551,0.330595,0.397753
0.0383333,1.77934,0.196802,-0.57759,-0.331874
0.04,1.41655,0.217067,0.236266,-0.258076
0.0416667,1.47072,0.193097,0.273589,-0.362574
0.0433333,1.66209,0.174659,-0.103252,0.260059
0.045,1.38349,0.12713,0.161572,-0.381405
0.0466667,1.65022,0.149926,0.018928,-0.231655
0.0483333,1.4763,0.270977,-0.050208,-0.193114
0.05,1.57975,0.0586283,-0.027183,0.00517819
0.0516667,1.51354,0.120962,0.0989099,0.358705
0.0533333,1.65069,0.323277,0.11754,0.226709
0.055,1.56298,0.17576,-0.19034,0.0758416
0.0566667,1.53745,0.300256,0.407231,0.559
0.0583333,1.51777,0.247199,0.244748,-0.388749
0.06,1.51359,0.334295,0.135379,0.16548
0.0616667,1.68266,0.254073,-0.100598,-0.456748
0.0633333,1.41443,0.163392,0.437333,0.0348522
0.065,1.53677,0.218332,-0.0688299,-0.0972858
0.0666667,1.50852,0.286543,-0.360827,0.398076
0.0683333,1.52924,0.359559,0.00783693,0.0909589
0.07,1.60724,0.285044,0.56104,-0.0772237
0.0716667,1.54912,0.116516,0.447751,-0.0535212
0.0733333,1.4282,0.275284,0.00207426,0.281734
0.075,1.45299,0.16895,-0.193907,-0.163279
0.0766667,1.53635,0.21219,0.623907,0.0711617
0.0783333,1.48517,0.309423,0.332809,0.146024
0.08,1.59036,0.269453,-0.362329,0.498856
