# SPIKE SUSCEPTIBILITY SIMULATION
# -------------------------------
#
# N_neurons = 100000
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 500
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 0.03
# f_low = 0
# f_high = 50
#
# Data format:
# Frequency, Re(Suscept_1), Im(Suscept_1), Re(Suscept_2), Im(Suscept_2)
#
0,1.05482e-12,0,7.69505e-24,0
0.002,1.52057,0.0276773,-0.36083,-2.25015
0.004,1.5202,0.0215212,0.0796838,-0.540459
0.006,1.52559,0.0368153,-0.303001,-1.62213
0.008,1.52162,0.0376079,0.622794,-0.709043
0.01,1.49867,0.0152204,1.12916,1.97352
0.012,1.49326,0.0162033,-1.20434,1.38991
0.014,1.49747,0.0520835,1.47464,1.33748
0.016,1.54607,0.0715245,-2.11187,3.26026
0.018,1.47244,0.0830058,1.48108,-3.18945
0.02,1.48053,0.0615147,1.64677,2.80004
0.022,1.52302,0.0879854,0.148843,-1.3393
0.024,1.51469,0.0677025,2.6114,1.32145
0.026,1.4693,0.087229,0.500654,1.219
0.028,1.47723,0.141822,-2.74418,-1.16669
0.03,1.54461,0.0704227,-0.14861,-3.83653
0.032,1.52251,0.112567,-0.922726,2.61502
0.034,1.48705,0.179368,-3.04709,3.02242
0.036,1.48507,0.0815333,1.53411,-0.71337
0.038,1.50458,0.163078,2.09795,3.32613
0.04,1.45356,0.121312,-0.797103,-0.364056
0.042,1.50174,0.171166,-0.27457,-2.2146
0.044,1.49048,0.195807,-0.456697,-1.58342
0.046,1.50674,0.149896,0.914033,1.18562
0.048,1.46354,0.160635,0.701691,-0.856489
0.05,1.51808,0.18636,-0.480739,-6.23263
0.052,1.48737,0.206497,-0.413058,1.1067
0.054,1.5561,0.203346,-0.49275,2.49229
0.056,1.49219,0.234429,-1.11263,2.05305
0.058,1.46231,0.191573,3.12338,-2.18342
0.06,1.49723,0.219271,1.57386,-2.9919
0.062,1.50969,0.231404,0.812878,-1.04799
0.064,1.46094,0.217255,2.34936,3.11163
0.066,1.49706,0.190852,-2.4156,-3.19255
0.068,1.52273,0.31713,0.817561,-0.12234
0.07,1.45869,0.250025,0.754329,-0.46527
0.072,1.56306,0.271643,-2.28402,0.677014
0.074,1.51707,0.268579,0.519975,-0.778364
0.076,1.46501,0.274076,1.25662,-1.18814
0.078,1.4792,0.310206,0.757363,-0.921686
0.08,1.4844,0.305847,-2.50283,-2.54507
0.082,1.54938,0.26316,1.81022,-0.121992
0.084,1.50963,0.323608,1.4303,2.22897
0.086,1.49413,0.343906,-1.68193,2.89601
0.088,1.51793,0.298544,-4.09436,-1.54619
0.09,1.44937,0.350465,3.04408,-0.00453078
0.092,1.49116,0.357372,0.837096,-3.21594
0.094,1.46836,0.330101,0.0335969,4.91473
0.096,1.47195,0.375825,0.973005,8.37014
0.098,1.51614,0.367484,0.78503,-1.76564
0.1,1.47946,0.365802,1.16378,1.5725
