# SPIKE SUSCEPTIBILITY SIMULATION
# -------------------------------
#
# N_neurons = 10000
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 500
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 3e-06
# f_low = 0
# f_high = 50
#
# Data format:
# Frequency, Re(Suscept_1), Im(Suscept_1), Re(Suscept_2), Im(Suscept_2)
#
0.234,2.10036,1.54411,-25.5348,78.0671
0.236,0.848135,1.16569,5.17657,-14.9225
0.238,1.77717,1.58567,49.3615,-2.86432
0.24,1.15169,0.962845,-8.90614,37.4062
0.242,1.90478,1.68957,-13.2383,-4.1472
0.244,2.41873,0.73946,79.2539,11.3846
0.246,1.7483,1.83999,-17.4277,-42.8341
0.248,1.83961,1.11628,-0.885123,48.953
0.25,1.10645,1.33398,17.9383,52.543
0.252,2.1113,2.62875,32.948,-38.4629
0.254,2.6895,1.46883,-23.2964,25.3509
0.256,2.84596,0.903315,30.1957,4.41734
0.258,0.679278,1.41153,-23.7933,28.6107
0.26,1.71306,1.48715,-35.6855,-3.01769
0.262,0.330716,2.53924,37.7489,-6.81399
0.264,1.62825,2.03233,7.67027,66.2232
0.266,1.62102,1.78048,24.2157,-0.652792
0.268,3.21796,2.304,20.8027,-11.6355
0.27,1.74448,1.86914,1.5365,5.30801
0.272,0.0776431,0.846457,-17.2752,38.3322
0.274,1.00796,2.08091,-15.8179,4.89876
0.276,-0.191419,1.34601,44.1115,-4.46418
0.278,1.15684,1.56065,26.369,-10.9657
0.28,1.3282,2.1532,-22.2303,7.93374
0.282,2.21137,1.69874,-5.50681,-9.77809
0.284,1.61928,2.11371,0.565649,29.3742
0.286,1.95852,2.62577,-48.2253,-13.4453
0.288,0.783521,2.77941,-4.27557,5.08008
0.29,2.51894,1.68916,1.00602,-28.3349
0.292,0.697303,0.799588,7.62442,-6.53568
0.294,2.46421,2.85686,-20.2758,20.4322
0.296,1.27906,1.83671,-5.53287,38.6963
0.298,2.51176,2.4934,-16.7351,-10.5049
0.3,1.91299,1.57084,-4.45319,-0.363935
0.302,0.834281,3.8299,64.0691,33.6556
0.304,3.7886,1.8395,12.1138,-9.25075
0.306,0.679886,1.84549,-34.0451,3.13909
0.308,1.97983,2.61151,-1.59184,17.1026
0.31,0.894514,1.28524,-17.5852,-35.3428
0.312,2.30045,2.61817,2.53973,15.6236
0.314,0.919895,2.33057,34.5427,37.1534
0.316,2.56117,1.82934,-18.0588,29.7044
0.318,1.36792,2.7387,-4.34934,12.2475
0.32,1.38684,1.63147,-22.6604,-44.5768
0.322,1.12701,2.56295,-16.386,43.5153
0.324,0.598462,0.632142,-0.202746,9.6589
0.326,2.23784,3.52561,21.8504,25.8669
0.328,0.361074,2.15558,-30.7941,39.3134
0.33,1.4895,2.70036,33.3493,9.74301
0.332,-0.601165,1.4463,-25.3815,-15.7763
0.334,-1.18212,3.35769,-0.659679,26.1176
0.336,2.39704,2.78974,-14.6077,-1.19795
0.338,1.88694,3.8592,-8.8082,37.1333
0.34,1.47447,4.05499,27.8334,-29.0733
0.342,1.03713,1.0736,7.17745,-8.625
0.344,-0.637896,3.6515,13.0588,18.1024
0.346,2.83003,3.17563,-11.3004,-16.6459
0.348,1.83771,2.82384,-15.0505,-6.30619
0.35,1.19036,6.404,4.5479,0.235692
0.352,4.67341,3.84218,5.03516,-7.42827
0.354,0.448535,1.10869,20.8343,-40.2762
0.356,1.66529,3.05352,-15.1843,8.99115
0.358,1.37462,1.63718,22.1079,41.6391
0.36,-0.257031,5.74551,-9.53189,-11.4608
0.362,1.36765,0.3346,-6.02463,5.23912
0.364,-0.0227177,5.43333,-35.5088,7.35511
0.366,1.95518,3.23036,-0.43931,4.22086
0.368,4.16176,7.26542,16.1195,-16.8731
0.37,-0.448928,7.00237,-1.21291,1.00117
0.372,1.51873,2.5244,-47.0076,-19.62
0.374,0.875713,4.49377,-13.4526,-22.3293
0.376,-1.53577,5.3182,8.91806,14.5588
0.378,-0.622421,2.28049,28.6648,7.88762
0.38,4.69885,6.40547,-99.8959,-13.709
0.382,-0.636387,3.83543,42.4305,19.0224
0.384,4.89195,5.0923,51.1418,-5.09795
0.386,4.07801,-0.674775,-10.7931,-24.617
0.388,6.46156,2.58188,6.31224,-25.5895
0.39,0.116044,5.51344,-5.94811,57.7335
0.392,1.19043,5.10034,14.671,19.9267
0.394,1.70795,7.14391,-27.2283,14.6291
0.396,3.62541,8.60512,30.729,-15.0042
0.398,5.23224,1.18758,6.45615,-11.0804
0.4,7.48539,5.26591,63.3348,-27.2944
0.402,13.4859,7.42137,28.7339,-40.3444
0.404,9.19618,-4.01697,-39.997,-21.1562
0.406,8.14843,6.2779,-29.5791,31.2733
0.408,3.29446,12.3387,-8.6667,-18.3762
0.41,0.813102,14.5844,31.4769,21.6475
0.412,11.6796,-0.975627,-16.9606,-42.7983
0.414,0.242351,1.74768,15.8241,-4.75944
0.416,4.02224,2.45781,-43.0846,46.3755
0.418,4.77772,1.59323,5.54339,-17.9326
0.42,17.1679,4.00589,-27.2136,27.1796
0.422,10.4506,-0.275355,48.0206,-18.0819
0.424,11.5128,-9.33773,71.6091,4.89073
0.426,7.44151,7.76187,-122.738,-46.6131
0.428,11.156,-0.352685,68.8112,-16.2188
0.43,16.6274,7.67109,-29.7855,-54.6384
0.432,18.2156,7.05139,-2.02854,82.7504
0.434,2.82745,-8.94774,48.9943,-9.72638
0.436,22.6202,-7.96594,0.903156,9.9403
0.438,14.8244,-5.85667,-39.3329,24.8288
0.44,13.3981,0.661711,62.9579,-110.62
0.442,0.929311,-1.92746,-50.3384,109.498
0.444,3.62908,-1.32248,-20.549,69.6403
0.446,6.35526,-1.53825,11.8404,-3.38797
0.448,7.83633,-4.17668,0.0488495,31.7779
0.45,5.47565,-4.48345,-51.4724,-11.5102
0.452,2.43571,0.490408,-86.6166,-40.1177
0.454,8.37436,-7.74706,1.71736,103.018
0.456,7.28337,-0.998189,59.0045,32.823
0.458,10.5915,-6.4772,-39.1226,-45.7956
0.46,5.30176,-5.9245,-18.2912,41.0474
0.462,8.66389,-1.88696,27.2037,26.4442
0.464,7.30632,-1.75891,16.5811,-33.6841
0.466,0.128798,-1.19409,-52.3968,-51.7016
0.468,6.15426,-1.60976,-53.0191,-31.7047
0.47,5.96856,-4.40338,73.1136,-22.5661
0.472,6.73173,-0.798438,44.5301,-1.48787
0.474,1.12206,0.978029,5.6047,10.4808
0.476,3.35685,-2.12704,15.9055,-40.9172
0.478,8.39417,-4.12319,3.0825,-22.5181
0.48,3.67455,-1.57129,-42.9966,-55.7912
0.482,1.29702,-3.80714,-3.4127,22.4671
0.484,1.88873,-4.8386,40.6394,-13.1004
0.486,1.86863,1.03707,-37.169,-25.1783
0.488,2.99828,-4.34382,33.0151,26.5404
0.49,5.31844,1.99235,24.3787,4.3513
0.492,5.7386,-2.57408,18.9335,-34.6275
0.494,3.99639,-2.69557,13.6526,-1.67854
0.496,2.44769,-2.09784,61.6837,-30.89
0.498,3.40068,1.31784,40.275,-9.83473
0.5,3.75822,-2.09614,3.09589,43.2229
0.502,0.802622,-3.12553,-32.9269,-28.0138
0.504,-0.304158,2.28067,-37.0045,-35.9632
0.506,3.07695,-2.61567,-27.5602,-2.79918
0.508,1.37012,0.587209,-39.2487,53.8967
0.51,4.64278,-0.179274,38.858,-15.301
0.512,2.66228,-5.1884,-1.77095,22.6886
0.514,2.40884,-1.64542,36.6231,43.8431
0.516,2.32515,-2.85619,-9.11309,-14.0467
0.518,2.80045,-4.39585,13.191,4.28041
0.52,4.40378,-1.69202,14.1311,58.6146
0.522,3.06914,-4.4271,16.727,30.2717
0.524,2.41913,0.393653,-14.425,25.1967
0.526,2.25246,-1.21611,45.7841,0.199742
0.528,4.35314,-1.65304,5.73195,13.0279
0.53,0.319668,-0.633937,-29.786,29.5259
0.532,2.31152,1.554,-16.9632,-1.72896
0.534,4.40557,-4.53771,19.0454,12.199
0.536,1.60889,-4.30801,43.0316,-9.20104
0.538,2.18643,0.779522,32.4063,-27.4511
0.54,1.71771,-4.33387,4.94512,-49.7988
0.542,-1.26357,-0.537527,16.5942,-2.58273
0.544,0.615497,-3.45123,-8.80161,28.2097
0.546,3.16047,-1.76319,31.852,11.4923
0.548,1.07364,-1.25147,-36.3053,-33.9709
0.55,3.52624,-2.57984,4.6081,21.4838
0.552,0.599723,-0.861807,-26.9127,-51.2124
0.554,2.87197,-0.297693,26.2777,-14.732
0.556,1.79773,-4.06804,17.8389,-42.298
0.558,2.18017,-1.39067,3.43349,-37.6642
0.56,0.0392958,-2.04667,32.1148,-7.82296
0.562,0.101829,-2.85445,34.3218,14.4445
0.564,1.86923,0.439596,-32.3229,-9.71729
0.566,4.6792,0.476279,-10.3339,46.016
0.568,3.64475,-1.36254,-14.4406,0.164894
0.57,1.3519,0.527618,4.8667,15.4405
0.572,4.23227,1.02633,13.8967,35.6686
0.574,-3.53627,0.151039,-23.6904,-29.8071
0.576,-0.205813,-1.45165,6.3061,18.9804
0.578,1.53495,-1.06418,23.4219,33.5674
0.58,5.30293,0.18631,-0.434923,-23.5601
0.582,2.25529,-2.12341,-35.7487,-9.97523
0.584,4.95707,0.350289,13.8117,8.73369
0.586,3.27376,0.326092,7.14143,-5.9117
0.588,1.79726,0.304795,-1.83358,14.3698
0.59,1.12385,-0.750528,10.7107,85.8454
0.592,1.83213,0.452425,-14.8031,-25.5955
0.594,1.96353,0.832794,10.4046,12.2997
0.596,2.62337,1.0509,22.3248,-24.0563
0.598,4.48428,0.781741,-7.15726,-34.7454
0.6,0.929822,1.63678,-32.2656,4.48065
0.602,3.15343,-0.971546,7.75728,-5.43188
0.604,2.64999,-2.42646,0.083493,-11.3093
0.606,3.55624,0.26598,-11.9633,32.4376
0.608,2.48287,-0.324469,-21.9559,71.4594
0.61,2.54396,-0.542682,6.72354,38.0485
0.612,2.40117,0.000420709,3.10973,-10.7408
0.614,0.0591961,-1.44191,-18.1159,11.4086
0.616,2.7814,-1.3431,-43.5464,20.8961
0.618,2.42919,-0.0505104,80.8149,51.3034
0.62,3.74854,0.0335768,-14.3412,22.1614
0.622,3.99578,-0.244114,25.1454,-65.9274
0.624,3.62643,1.15964,17.733,-53.9768
0.626,4.39243,-2.25389,-24.7168,-66.6229
0.628,2.4154,0.13554,3.65715,57.0354
0.63,2.97493,-2.17367,-3.80798,85.1353
0.632,1.20165,-1.25609,2.27382,-10.3453
0.634,4.79625,1.96791,-43.4507,-41.3587
0.636,2.08474,-2.06141,-23.1441,24.0571
0.638,1.87638,-1.28534,-22.8022,15.1807
0.64,-0.540584,-0.178455,-32.5775,16.8807
0.642,2.69825,0.0849435,4.86294,45.7821
0.644,2.45879,0.436759,46.0007,81.3734
0.646,1.373,-0.0460691,-40.7166,84.1762
0.648,3.03689,-0.660461,1.22118,-86.9396
0.65,3.83835,1.7253,-8.55655,-19.5404
0.652,3.30963,-1.24265,19.9909,6.86533
0.654,2.45697,-1.16211,96.0919,5.66369
0.656,1.44058,-0.620933,9.316,37.5911
0.658,0.966462,-1.25635,-47.2766,-24.189
0.66,-0.230226,0.991987,21.2475,6.13491
0.662,1.27212,3.60262,-8.04316,-80.0186
0.664,2.26238,-0.544346,-9.22202,-78.2697
0.666,4.0363,1.55984,-13.3888,21.6226
0.668,5.11699,1.62748,-34.4557,9.6655
0.67,3.3629,1.12585,-4.47939,-20.2155
0.672,4.44946,1.81052,82.1931,-17.8776
0.674,3.26494,-0.769522,45.3717,-8.16041
0.676,1.34495,-2.022,12.3681,-4.43818
0.678,-1.07909,0.637478,-39.2733,-32.1188
0.68,-1.59698,2.86997,-34.6704,11.9573
0.682,3.62866,2.21765,19.5889,-53.1469
0.684,1.57251,0.692101,18.5448,9.90176
0.686,2.63401,0.689761,-3.17609,-27.6158
0.688,1.08657,1.75834,11.8754,-6.19561
0.69,1.20069,2.81638,-7.844,1.83369
0.692,2.29299,0.683292,21.4008,47.4621
0.694,1.76619,-0.647387,-34.1405,-11.3523
0.696,4.26626,1.88652,-8.36084,-19.474
0.698,3.07517,0.349483,-20.0187,-21.9051
0.7,4.62559,-2.24928,37.6773,-55.4314
0.702,3.23569,1.59213,-97.0281,-6.5998
0.704,1.97315,0.357533,17.4409,-9.36273
0.706,5.20067,-2.04382,41.1438,48.7775
0.708,-0.479256,1.79749,-1.48338,-45.2379
0.71,3.32734,-1.39707,-17.7081,-29.3544
0.712,2.20659,2.08528,-2.16682,83.2473
0.714,-1.83173,0.757746,-8.75758,-18.9817
0.716,3.17942,-0.619954,-27.8876,-4.61963
0.718,4.55995,-0.765172,15.9813,1.77452
0.72,2.95789,2.95286,37.9768,6.86898
0.722,2.23369,2.80961,-12.0598,-20.1586
0.724,4.91939,-0.969097,73.1427,32.2532
