# SPIKE SUSCEPTIBILITY SIMULATION
# -------------------------------
#
# N_neurons = 10000000
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 500
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 3e-05
# f_low = 0
# f_high = 50
#
# Data format:
# Frequency, Re(Suscept_1), Im(Suscept_1), Re(Suscept_2), Im(Suscept_2)
#
0,-nan,-nan,-nan,-nan
0.002,1.51028,0.00112119,0.0138679,-0.00702268
0.004,1.50575,0.0102736,-0.000906089,-0.0119735
0.006,1.51602,0.0189248,0.000147615,-0.014505
0.008,1.50738,0.0318651,0.0107512,0.0261948
0.01,1.50372,0.0334674,0.0123852,-0.000609871
0.012,1.50878,0.0401195,-0.0139344,-0.000472927
0.014,1.50758,0.0535463,-0.00893412,-0.00129869
0.016,1.50521,0.0564556,0.0025853,-0.0145134
0.018,1.5045,0.0679979,-0.0141883,-0.0105419
0.02,1.50458,0.0698092,0.00458809,-0.0256127
0.022,1.51243,0.0778449,-0.0243169,0.0133962
0.024,1.50797,0.0829456,-0.00330484,0.00301846
0.026,1.51019,0.0884846,-0.0380946,-0.0165556
0.028,1.50494,0.0940034,0.00252332,0.0146703
0.03,1.50535,0.10488,-0.00230538,0.00102255
0.032,1.50668,0.111455,-0.00443498,0.0114352
0.034,1.51353,0.112619,0.00408908,-0.0106403
0.036,1.51084,0.127072,0.00464125,0.000619795
0.038,1.51101,0.138742,-0.0277936,0.00942331
0.04,1.51157,0.137789,-0.0327038,0.0136969
0.042,1.5039,0.149147,-0.00510615,-0.00275797
0.044,1.50635,0.151401,0.0139238,-0.00623297
0.046,1.51121,0.162618,0.00914066,0.0121362
0.048,1.50101,0.169823,0.00598496,0.00461285
0.05,1.50125,0.184121,-0.00415086,-0.00218768
0.052,1.51031,0.185783,0.00994197,-0.0244486
0.054,1.50714,0.198676,0.0082249,0.00492998
0.056,1.50723,0.20088,-0.0119969,-0.0300141
0.058,1.50884,0.207501,-0.00717709,-0.00860627
0.06,1.509,0.215064,-0.00793636,0.0113499
0.062,1.5075,0.220872,-0.00987046,0.0306442
0.064,1.50226,0.229823,-0.0188079,0.0330563
0.066,1.50282,0.238613,-0.0202095,-0.0119607
0.068,1.50511,0.23975,-0.0358153,0.00512168
0.07,1.50632,0.255848,-0.0300254,0.0128315
0.072,1.50255,0.257193,0.0153118,0.0113796
0.074,1.50714,0.271345,-0.0154255,0.0186093
0.076,1.5099,0.274745,0.00449262,-0.0157639
0.078,1.50895,0.281992,0.0191845,-0.00880297
