# SPIKE SUSCEPTIBILITY SIMULATION
# -------------------------------
#
# N_neurons = 10000
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 500
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 3
# f_low = 0
# f_high = 50
#
# Data format:
# Frequency, Re(Suscept_1), Im(Suscept_1), Re(Suscept_2), Im(Suscept_2)
#
0.226,1.5188,0.678784,-1.15493,-0.211472
0.228,1.51936,0.663433,-1.99416,-1.1091
0.23,1.51618,0.6899,0.172452,-1.0496
0.232,1.53024,0.700126,0.127745,-0.231581
0.234,1.55089,0.682842,-0.0682397,-0.0620006
0.236,1.56327,0.726435,-0.248252,-0.0978723
0.238,1.49666,0.71342,-0.580591,-0.191081
0.24,1.52554,0.722979,-0.00581587,0.358918
0.242,1.54462,0.684772,-1.51556,1.23685
0.244,1.50363,0.734338,-0.519324,1.13369
0.246,1.52958,0.765225,-0.176554,-0.447735
0.248,1.53747,0.760699,-0.60134,0.8579
0.25,1.52695,0.800667,0.828251,-0.893374
0.252,1.53517,0.796062,-0.655741,1.90385
0.254,1.55308,0.76413,0.0695441,1.23564
0.256,1.56499,0.825984,-0.442877,-0.12764
0.258,1.54722,0.806073,0.286849,1.39073
0.26,1.57522,0.846349,0.531211,0.0885507
0.262,1.57013,0.829589,0.185787,0.514407
0.264,1.55655,0.817733,0.0528498,0.0458155
0.266,1.61015,0.874622,-0.151786,0.492946
0.268,1.60977,0.840146,0.315791,-0.0886562
0.27,1.62376,0.862489,-0.294347,0.254202
0.272,1.57539,0.87126,-0.464397,0.894311
0.274,1.62331,0.883832,0.534453,0.880003
0.276,1.61636,0.871679,0.566963,0.387472
0.278,1.65455,0.883469,-0.120331,-0.1999
0.28,1.60742,0.913578,0.196728,-0.0344285
0.282,1.6436,0.950839,-0.131839,0.2072
0.284,1.68768,0.980395,-0.459685,0.68145
0.286,1.66747,0.942034,-1.06115,-0.341432
0.288,1.63489,1.00144,-0.485651,0.333972
0.29,1.68933,0.97515,-0.064726,1.05794
0.292,1.69139,0.998052,-0.30274,-0.000101515
0.294,1.71493,0.996409,-0.419422,0.475175
0.296,1.69097,1.01166,-0.0810796,0.512069
0.298,1.72556,1.07159,0.0538558,0.741676
0.3,1.71061,1.04837,0.111661,0.451996
0.302,1.73394,1.05646,-0.028556,0.183552
0.304,1.75139,1.09117,-0.333346,1.17771
0.306,1.77833,1.15751,-0.835459,0.761124
0.308,1.81811,1.07082,-0.640926,0.314221
0.31,1.75048,1.13914,-0.869594,0.790856
0.312,1.76607,1.13041,0.0132616,0.523489
0.314,1.79508,1.17445,0.463574,0.433522
0.316,1.80201,1.13857,0.378163,0.861122
0.318,1.78668,1.24824,-0.709063,-0.0725914
0.32,1.92131,1.23544,0.0297331,0.489707
0.322,1.86637,1.24649,0.173092,0.612229
0.324,1.82866,1.22922,-0.134748,0.664054
0.326,1.87569,1.20436,-0.223187,0.0483143
0.328,1.91788,1.32668,0.0833757,0.776667
0.33,1.88872,1.27593,0.185034,0.211506
0.332,1.91709,1.32777,0.209681,0.343095
0.334,2.00194,1.33479,0.199045,0.674927
0.336,1.91997,1.34466,-0.471789,0.15207
0.338,1.96452,1.35438,0.192222,0.916265
0.34,2.0046,1.41127,-0.100758,0.383706
0.342,2.01983,1.40228,0.255487,1.30465
0.344,2.06117,1.45168,-0.0322226,0.778359
0.346,2.06661,1.41203,0.0841291,0.433245
0.348,2.11784,1.43219,0.18976,0.490621
0.35,2.16631,1.51793,-0.249906,-0.0239092
0.352,2.15738,1.52182,0.427629,0.564636
0.354,2.20573,1.50802,0.303449,-0.0427379
0.356,2.20391,1.52467,0.0220752,0.706671
0.358,2.20709,1.51453,-0.0458619,0.225435
0.36,2.28162,1.51273,-0.0577987,0.448977
0.362,2.3514,1.62852,-0.260812,0.343254
0.364,2.34615,1.59937,0.340536,0.465057
0.366,2.4353,1.65748,-0.0480659,-0.340234
0.368,2.46412,1.65086,0.0632733,0.44281
0.37,2.54734,1.60031,-0.150823,0.787541
0.372,2.49356,1.63586,0.0464566,0.514883
0.374,2.52744,1.65872,-0.00931499,0.722865
0.376,2.60409,1.69673,0.7737,0.480026
0.378,2.57222,1.6393,0.00168281,0.103545
0.38,2.67787,1.65154,-0.479407,0.687989
0.382,2.77338,1.76361,0.956977,0.579711
0.384,2.83451,1.78242,0.315056,0.0594382
0.386,2.88803,1.64804,0.232417,0.898983
0.388,2.88136,1.80227,0.360757,0.21362
0.39,3.03453,1.75754,0.358286,0.398565
0.392,3.0251,1.80964,0.567346,0.609698
0.394,3.13337,1.84185,0.484398,0.519821
0.396,3.14326,1.91151,-0.000161405,0.577739
0.398,3.30628,1.70738,0.452353,0.772829
0.4,3.32759,1.7748,0.16655,0.409228
0.402,3.38346,1.82154,0.2527,1.17827
0.404,3.52773,1.71063,0.333166,0.412008
0.406,3.50647,1.73555,0.644763,-0.284156
0.408,3.49495,1.67519,0.729889,0.399216
0.41,3.54034,1.74184,1.0664,0.684088
0.412,3.69376,1.59991,0.744796,0.461513
0.414,3.80268,1.60774,-0.201443,0.555888
0.416,3.79768,1.54553,0.91436,0.101956
0.418,4.09623,1.63547,0.282564,0.000365699
0.42,3.81084,1.59904,0.632008,0.0439379
0.422,4.11981,1.45316,0.903566,0.409269
0.424,4.02644,1.3947,0.564333,0.620733
0.426,4.26064,1.30956,1.22785,0.496082
0.428,4.44581,1.39794,0.886808,0.526013
0.43,4.5784,1.15633,0.254954,0.0275071
0.432,4.56359,1.14502,1.06944,1.00756
0.434,4.56893,0.931117,0.87147,0.980931
0.436,4.64724,0.881776,0.27161,0.639423
0.438,4.50377,0.839369,1.0766,0.355655
0.44,4.65568,0.62655,0.360769,0.869164
0.442,4.81705,0.649414,0.584368,-0.304329
0.444,4.7664,0.47814,0.526684,-0.718129
0.446,4.69693,0.424493,1.05745,0.358279
0.448,4.73512,0.216039,0.176022,0.693914
0.45,4.9996,0.221559,0.656349,0.165542
0.452,4.79952,-0.14539,0.851278,0.151226
0.454,4.87493,0.014612,0.50574,-0.249376
0.456,4.69914,-0.0688494,1.6524,-0.0277274
0.458,4.57967,-0.36952,1.38963,-0.0602207
0.46,4.80685,-0.369365,1.22096,-0.993695
0.462,4.66717,-0.52104,1.12983,-0.254456
0.464,4.61306,-0.602033,0.951849,-0.872699
0.466,4.46399,-0.547665,1.46667,0.00875512
0.468,4.51519,-0.765088,0.469184,-0.18891
0.47,4.50603,-0.852309,0.340762,0.229224
0.472,4.33064,-0.816174,0.480594,-0.587998
0.474,4.32031,-1.07066,0.445788,-0.325041
0.476,4.13164,-0.968077,0.252052,-0.87706
0.478,4.18509,-0.976624,0.354772,0.361255
0.48,4.14265,-1.18896,0.186097,-0.27793
0.482,4.13954,-1.15372,0.578643,-0.395237
0.484,4.09814,-1.29821,0.835347,-0.509666
0.486,3.97383,-1.13663,0.60858,-0.204728
0.488,3.94675,-1.24943,-0.120243,0.171074
0.49,3.69318,-1.37427,-0.0680413,0.403632
0.492,3.77194,-1.40387,1.50852,-0.346297
0.494,3.63419,-1.26222,0.225538,0.0658065
0.496,3.60311,-1.37358,0.691289,-0.753747
0.498,3.66066,-1.42824,0.115178,0.442747
0.5,3.61747,-1.49896,-0.15697,-0.0836761
0.502,3.42659,-1.33998,0.782213,-0.346383
0.504,3.38273,-1.47521,0.254087,-0.59017
0.506,3.23465,-1.463,-0.211735,-0.00475248
0.508,3.24947,-1.54004,-0.414899,-0.421508
0.51,3.11477,-1.44607,-0.142886,-0.31466
0.512,3.18071,-1.41824,1.48201,-0.415466
0.514,2.96674,-1.53553,-0.117029,-0.0449063
0.516,2.9992,-1.52359,0.109522,0.356402
0.518,2.92158,-1.46095,0.802815,-0.756402
0.52,2.97084,-1.60697,0.375407,0.208255
0.522,3.03843,-1.47293,0.163675,-1.0168
0.524,2.8718,-1.38841,0.486434,0.508546
0.526,2.7908,-1.41442,0.165588,-0.488921
0.528,2.92235,-1.26263,0.159494,-0.503346
0.53,2.74722,-1.423,0.368555,-0.856821
0.532,2.87777,-1.39221,-0.077163,-0.290975
0.534,2.65968,-1.40451,0.205132,-0.0966149
0.536,2.75271,-1.28179,0.657643,-0.21252
0.538,2.67849,-1.2065,0.618176,0.428274
0.54,2.57365,-1.45069,-0.0216089,0.0679197
0.542,2.60409,-1.35536,0.441412,-0.40211
0.544,2.4755,-1.27038,-0.446313,0.0953552
0.546,2.47543,-1.26009,0.357484,-0.296251
0.548,2.47034,-1.20333,0.287171,-0.40003
0.55,2.51091,-1.25447,-0.593097,-0.371678
0.552,2.47247,-1.27552,0.398835,0.160092
0.554,2.44697,-1.22249,0.262649,0.347652
0.556,2.38834,-1.25657,0.284166,0.214386
0.558,2.4529,-1.21968,0.351793,0.529969
0.56,2.28668,-1.23021,-0.339467,0.0197189
0.562,2.23142,-1.09092,0.0739687,0.0330566
0.564,2.32881,-1.15737,-0.872324,-0.971798
0.566,2.30024,-1.07745,0.823727,0.131185
0.568,2.3346,-1.13931,0.613551,-0.318242
0.57,2.22761,-1.26721,-0.17147,-0.479478
0.572,2.28333,-1.14883,-0.850865,-0.0684259
0.574,2.24354,-1.04645,0.895207,0.254136
0.576,2.20844,-1.11474,0.265347,0.0491422
0.578,2.21569,-1.02183,-0.465194,1.48333
0.58,2.2042,-1.16306,-0.158527,0.359188
