# SPIKE SUSCEPTIBILITY SIMULATION
# -------------------------------
#
# N_neurons = 10000000
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 500
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 0.003
# f_low = 0
# f_high = 50
#
# Data format:
# Frequency, Re(Suscept_1), Im(Suscept_1), Re(Suscept_2), Im(Suscept_2)
#
0,-nan,-nan,-nan,-nan
0.002,1.4286,0.00560045,-0.0011123,0.000130314
0.004,1.42795,0.0109392,-0.00107637,3.70047e-06
0.006,1.42828,0.0172209,-0.00127494,-3.72316e-05
0.008,1.42873,0.0230673,-0.00109072,-0.000328548
0.01,1.42883,0.0280537,-0.00120119,-0.000276776
0.012,1.4292,0.0334464,-0.00156937,-0.000237787
0.014,1.42818,0.0396922,-0.0012445,-0.000322702
0.016,1.42898,0.0450021,-0.00131781,-0.000177043
0.018,1.42842,0.0507011,-0.00114818,-0.000269828
0.02,1.42848,0.0562298,-0.00147115,-0.000253008
0.022,1.42893,0.0620578,-0.00148661,-7.95597e-05
0.024,1.42876,0.0668435,-0.00162578,-0.000550145
0.026,1.42923,0.0736887,-0.00116358,-0.000130337
0.028,1.42953,0.079237,-0.00125623,-0.000161503
0.03,1.42942,0.084243,-0.00122077,-0.000356793
0.032,1.42959,0.0909323,-0.00115613,-0.000757797
0.034,1.42959,0.0961892,-0.00163756,-0.00078112
0.036,1.43069,0.102374,-0.00126409,-0.000506359
0.038,1.42958,0.107194,-0.00151828,-0.00103302
0.04,1.43001,0.113278,-0.00126675,-0.000684387
0.042,1.43083,0.118885,-0.000970046,-0.000658919
0.044,1.43006,0.124219,-0.00153511,-0.000866025
0.046,1.43114,0.13092,-0.00142677,-0.000839215
0.048,1.43064,0.13665,-0.00121308,-0.000628641
0.05,1.43094,0.141527,-0.00136342,-0.00111166
0.052,1.43179,0.147858,-0.00129161,-0.000589276
0.054,1.43209,0.153821,-0.00175656,-0.000802779
0.056,1.43213,0.159469,-0.00156327,-0.000714915
0.058,1.43265,0.165419,-0.0016016,-0.00110073
0.06,1.4325,0.171913,-0.00158477,-0.000820397
0.062,1.4325,0.177666,-0.00169266,-0.000924541
0.064,1.4328,0.183126,-0.00152983,-0.00154054
0.066,1.43379,0.189411,-0.00156472,-0.00112317
0.068,1.43432,0.195347,-0.00146215,-0.00110284
0.07,1.43348,0.200936,-0.00160263,-0.00124578
0.072,1.43439,0.207716,-0.000982371,-0.00159955
0.074,1.43459,0.21271,-0.00119741,-0.00145643
0.076,1.43527,0.219593,-0.00152341,-0.00191715
0.078,1.43589,0.225132,-0.00174168,-0.00170968
0.08,1.43661,0.231137,-0.00172794,-0.00142691
