# SPIKE SUSCEPTIBILITY SIMULATION
# -------------------------------
#
# N_neurons = 100000
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 500
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 3e-06
# f_low = 0
# f_high = 50
#
# Data format:
# Frequency, Re(Suscept_1), Im(Suscept_1), Re(Suscept_2), Im(Suscept_2)
#
0,-nan,-nan,-nan,-nan
0.002,1.53075,0.0860658,-0.432126,-0.0648756
0.004,1.35237,-0.181076,-1.06879,1.15368
0.006,1.49655,0.0309094,0.236323,1.60983
0.008,1.50417,0.12844,-1.30977,-0.0309374
0.01,1.5015,0.237432,3.6789,-0.930253
0.012,1.46567,-0.135884,-0.174482,-2.34988
0.014,1.50716,0.124694,1.76694,-0.462782
0.016,1.50164,0.0915841,0.594106,0.0034734
0.018,1.37447,0.0795365,0.0109711,-0.589674
0.02,1.61863,0.00768341,-0.414479,-0.104526
0.022,1.39164,0.21894,0.694804,1.19004
0.024,1.59041,0.064503,-1.7883,0.366792
0.026,1.57407,0.172096,1.52813,-1.12898
0.028,1.45416,0.246316,2.91318,1.47809
0.03,1.61928,0.162716,-1.03109,-1.66224
0.032,1.52698,0.109458,0.0759856,2.13794
0.034,1.45504,0.166687,0.352822,2.04753
0.036,1.52907,-0.0831151,0.621144,1.93706
0.038,1.49084,0.0626149,-0.949166,-1.12843
0.04,1.53747,0.058148,0.793017,-1.95605
0.042,1.51844,0.0452892,1.08306,-0.0808207
0.044,1.47347,-0.0421657,0.201155,1.48605
0.046,1.39401,0.121294,1.54514,0.0535303
0.048,1.68761,0.284099,1.95253,0.429517
0.05,1.50658,-0.0523596,0.419153,0.138394
0.052,1.41976,-0.0174457,0.485245,0.144221
0.054,1.56211,0.0672448,-1.50315,-0.0639472
0.056,1.53665,0.08109,0.536631,-0.632588
0.058,1.48916,0.269409,1.00078,-0.423796
0.06,1.60984,0.154599,0.0705645,0.360388
0.062,1.63775,0.246635,-2.1051,-0.98867
0.064,1.37952,0.232988,1.31231,2.3652
0.066,1.56494,0.324873,-0.914666,0.10007
0.068,1.43804,0.0242129,-2.17368,0.675268
0.07,1.5462,0.169099,-5.86844,-0.703117
0.072,1.66056,0.367876,2.95558,1.50622
0.074,1.47278,0.0879017,-0.0891468,1.82408
0.076,1.4515,0.375534,0.29818,1.03697
0.078,1.61103,0.268997,-0.120189,-0.638718
0.08,1.53108,0.111889,0.20577,-0.482328
0.082,1.46868,0.328121,1.51019,0.387805
0.084,1.54418,0.0798945,0.966387,-1.72073
0.086,1.51708,0.410263,-1.66787,-2.27075
0.088,1.45874,0.313146,-1.81078,-0.235057
0.09,1.3617,0.413041,-1.83365,1.50052
0.092,1.65651,0.233771,-2.55442,1.04184
