# SPIKE SUSCEPTIBILITY SIMULATION
# -------------------------------
#
# N_neurons = 1000000
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 500
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 0.003
# f_low = 0
# f_high = 50
#
# Data format:
# Frequency, Re(Suscept_1), Im(Suscept_1), Re(Suscept_2), Im(Suscept_2)
#
0.212,1.46655,0.587664,-0.0147877,0.00324593
0.214,1.47429,0.591523,-0.0182457,-0.00122901
0.216,1.47275,0.602605,-0.016573,-0.00196088
0.218,1.47694,0.613692,-0.0206632,-0.00182263
0.22,1.47927,0.618982,-0.0210534,0.00318155
0.222,1.48088,0.626637,-0.0237223,0.00284953
0.224,1.48395,0.635785,-0.0186376,0.00765216
0.226,1.48746,0.646967,-0.0237336,0.00520396
0.228,1.48757,0.651085,-0.0238536,0.0106111
0.23,1.49571,0.657113,-0.0192697,0.0122459
0.232,1.49923,0.671827,-0.019002,0.00615836
0.234,1.50146,0.680152,-0.0185313,0.0105487
0.236,1.50288,0.686846,-0.0198177,0.0098069
0.238,1.50669,0.696627,-0.0142462,0.01163
0.24,1.51556,0.706,-0.0192769,0.0184812
0.242,1.51527,0.71849,-0.00674514,0.0141713
0.244,1.52125,0.726675,-0.0143645,0.0147574
0.246,1.52411,0.735591,-0.0129143,0.0132259
0.248,1.52728,0.746161,-0.0144042,0.0200707
0.25,1.53579,0.754468,-0.0129333,0.0142199
0.252,1.53549,0.761626,-0.0127029,0.0168266
0.254,1.54242,0.774722,-0.00740167,0.0144925
0.256,1.54731,0.783845,-0.0107464,0.0163231
0.258,1.55225,0.792616,-0.0100504,0.0150985
0.26,1.55843,0.804663,-0.0123473,0.017392
0.262,1.56254,0.814798,-0.00710445,0.0142944
0.264,1.56763,0.82668,-0.0101148,0.017004
0.266,1.5732,0.836737,-0.00790137,0.0134276
0.268,1.57608,0.845825,-0.00662442,0.0206717
0.27,1.58235,0.857523,-0.00487084,0.0147555
0.272,1.59035,0.867269,-0.00231179,0.0152591
0.274,1.59445,0.878478,-0.0072473,0.0150869
0.276,1.60301,0.891043,-0.0061985,0.0168152
0.278,1.61014,0.908612,-0.00540473,0.013422
0.28,1.61431,0.913308,-0.005824,0.0104318
0.282,1.619,0.924895,-0.004043,0.0149479
0.284,1.62756,0.93658,-0.00322224,0.0157769
0.286,1.63697,0.946746,-0.0070466,0.0156021
0.288,1.64629,0.963176,-0.00193742,0.0124335
0.29,1.65387,0.974799,-0.00203858,0.0148447
0.292,1.66142,0.988369,0.000508189,0.0171086
0.294,1.66725,0.999424,-0.00552479,0.015055
0.296,1.67643,1.01473,-0.00230414,0.0137555
0.298,1.68589,1.02872,-0.00105471,0.0152342
0.3,1.69561,1.04128,-0.00260137,0.0138134
0.302,1.70599,1.05266,-0.00346741,0.0166919
0.304,1.7158,1.07141,-0.00260348,0.0138847
0.306,1.7204,1.08161,-0.00138035,0.0145094
0.308,1.7312,1.0993,-0.00370177,0.0143123
0.31,1.74513,1.10865,-0.00132026,0.0152754
0.312,1.75467,1.12754,-0.00160757,0.0151386
0.314,1.76693,1.1453,-0.00316592,0.0139329
0.316,1.77952,1.15574,3.16551e-05,0.0126475
0.318,1.79517,1.17594,-0.0012059,0.012291
0.32,1.80416,1.18813,-0.00165748,0.0152484
0.322,1.81775,1.20249,-0.00335367,0.0123712
0.324,1.83986,1.2217,0.00151606,0.0150938
0.326,1.84492,1.23208,0.000179662,0.0162781
0.328,1.86399,1.25238,-0.00171591,0.0155938
0.33,1.87769,1.26803,0.00176607,0.0147764
0.332,1.89563,1.29162,0.00156478,0.0156976
0.334,1.90581,1.30013,0.00160324,0.017906
0.336,1.92802,1.31856,-0.00206236,0.0149143
0.338,1.95339,1.33059,0.000505893,0.0143697
0.34,1.96267,1.35446,0.00020193,0.0140749
0.342,1.9822,1.37564,0.00150535,0.0165776
0.344,2.00776,1.391,0.000554103,0.0152378
0.346,2.02435,1.40401,0.00213442,0.0155433
0.348,2.0445,1.43082,-0.000655931,0.0151251
0.35,2.0733,1.44983,0.00198307,0.0184374
0.352,2.09479,1.46563,0.00130681,0.0173232
0.354,2.12218,1.48577,0.00178083,0.016863
0.356,2.15849,1.50336,0.00142749,0.0169836
0.358,2.17498,1.52271,-0.00083974,0.0139431
0.36,2.20556,1.54457,0.00239622,0.0182496
0.362,2.23866,1.56043,0.00362217,0.0146421
0.364,2.26932,1.57267,0.00144309,0.0183468
0.366,2.29839,1.59131,0.00690304,0.0183618
0.368,2.33655,1.61849,0.00222876,0.0194185
0.37,2.36804,1.63594,0.00173924,0.0186768
0.372,2.40577,1.65361,0.00226622,0.0190923
0.374,2.44785,1.68122,0.00249773,0.0197396
0.376,2.48668,1.68227,0.00154099,0.0174684
0.378,2.52067,1.7073,0.00454413,0.0208888
0.38,2.57478,1.7202,0.00530125,0.0217297
0.382,2.61795,1.72792,0.0058542,0.0172719
0.384,2.66531,1.74731,0.00737745,0.0192346
0.386,2.71365,1.76951,0.00639443,0.0205388
0.388,2.75974,1.77778,0.00778352,0.0208598
0.39,2.82196,1.78999,0.00963083,0.020417
0.392,2.86879,1.7871,0.00442797,0.0205436
0.394,2.93771,1.80085,0.00701907,0.0243039
0.396,3.00254,1.81118,0.0102349,0.0215532
0.398,3.04812,1.81089,0.00743413,0.0196237
0.4,3.12286,1.81219,0.00977609,0.0219068
0.402,3.18239,1.8142,0.0112506,0.0204329
0.404,3.2569,1.80787,0.00912392,0.0224573
0.406,3.33574,1.79768,0.0129642,0.0210753
0.408,3.39134,1.80398,0.0127626,0.0245786
0.41,3.48315,1.77755,0.0130563,0.0217441
0.412,3.54259,1.77241,0.01513,0.0221058
0.414,3.63829,1.74508,0.0181866,0.021928
0.416,3.69999,1.72572,0.0153114,0.0213685
0.418,3.78407,1.68522,0.0155525,0.0181052
0.42,3.88501,1.63013,0.0171287,0.0207773
0.422,3.96696,1.60787,0.0183109,0.0215689
0.424,4.04506,1.55173,0.0217962,0.0202674
0.426,4.13808,1.49007,0.020187,0.0212194
0.428,4.20247,1.44306,0.023506,0.0167576
0.43,4.27544,1.37651,0.024672,0.0187433
0.432,4.36585,1.30163,0.0232348,0.0172735
