# FiringRateSimulation
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 500
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 0.02
# f_low = 0
# f_high = 50
#
# Data format:
# Time, Firing rate
#
4.01,0.290058
4.02,0.180036
4.03,0.190038
4.04,0.210042
4.05,0.280056
4.06,0.230046
4.07,0.220044
4.08,0.290058
4.09,0.25005
4.1,0.240048
4.11,0.410082
4.12,0.340068
4.13,0.260052
4.14,0.310062
4.15,0.25005
4.16,0.360072
4.17,0.390078
4.18,0.430086
4.19,0.460092
4.2,0.380076
4.21,0.540108
4.22,0.620124
4.23,0.560112
4.24,0.570114
4.25,0.610122
4.26,0.610122
4.27,0.730146
4.28,0.740148
4.29,0.530106
4.3,0.80016
4.31,0.80016
4.32,0.710142
4.33,0.75015
4.34,1.05021
4.35,0.930186
4.36,0.730146
4.37,0.75015
4.38,0.760152
4.39,0.910182
4.4,1.07021
4.41,0.90018
4.42,0.760152
4.43,0.95019
4.44,0.940188
4.45,0.920184
4.46,0.930186
4.47,0.920184
4.48,1.19024
4.49,0.95019
4.5,0.990198
4.51,0.970194
4.52,1.03021
4.53,0.920184
4.54,0.930186
4.55,1.12022
4.56,1.12022
4.57,0.940188
4.58,0.940188
4.59,0.95019
4.6,0.970194
4.61,1.23025
4.62,1.07021
4.63,1.06021
4.64,1.08022
4.65,0.860172
4.66,0.860172
4.67,1.10022
4.68,0.830166
4.69,0.780156
4.7,0.90018
4.71,1.07021
4.72,0.980196
4.73,0.890178
4.74,1.03021
4.75,0.85017
4.76,1.15023
4.77,0.840168
4.78,1.03021
4.79,0.840168
4.8,0.940188
4.81,0.910182
4.82,0.990198
4.83,0.880176
4.84,0.90018
4.85,0.90018
4.86,0.95019
4.87,0.80016
4.88,0.880176
4.89,0.830166
4.9,0.810162
4.91,0.690138
4.92,0.590118
4.93,0.640128
4.94,0.820164
4.95,0.75015
4.96,0.790158
4.97,0.80016
4.98,0.620124
4.99,0.740148
5,0.680136
5.01,0.670134
5.02,0.670134
5.03,0.440088
5.04,0.55011
5.05,0.660132
5.06,0.470094
5.07,0.560112
5.08,0.580116
5.09,0.5001
5.1,0.590118
5.11,0.5001
5.12,0.510102
5.13,0.530106
5.14,0.45009
5.15,0.420084
5.16,0.5001
5.17,0.460092
5.18,0.40008
5.19,0.310062
5.2,0.30006
5.21,0.460092
5.22,0.45009
5.23,0.290058
5.24,0.260052
5.25,0.410082
5.26,0.280056
5.27,0.480096
5.28,0.270054
5.29,0.45009
5.3,0.290058
5.31,0.30006
5.32,0.35007
5.33,0.30006
5.34,0.340068
5.35,0.340068
5.36,0.270054
5.37,0.380076
5.38,0.260052
5.39,0.320064
5.4,0.270054
5.41,0.30006
