# SusceptibilitySimulation
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 1000
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 1
# f_low = 0
# f_high = 50
#
# Data format:
# Frequency, Re(Susceptibility), Im(Susceptibility)
#
0.214,1.43533,0.484152
0.215,1.43191,0.475803
0.216,1.42595,0.487485
0.217,1.43876,0.479939
0.218,1.4411,0.491199
0.219,1.44339,0.486309
0.22,1.44446,0.500687
0.221,1.43958,0.493999
0.222,1.44688,0.498831
0.223,1.45142,0.506414
0.224,1.44925,0.502288
0.225,1.45425,0.513299
0.226,1.45345,0.519543
0.227,1.45612,0.519395
0.228,1.45588,0.520402
0.229,1.46073,0.523803
0.23,1.45512,0.526516
0.231,1.46493,0.527527
0.232,1.46596,0.531698
0.233,1.46015,0.536181
0.234,1.47053,0.539508
0.235,1.46485,0.542004
0.236,1.47797,0.545732
0.237,1.4713,0.551187
0.238,1.46925,0.54863
0.239,1.47659,0.558281
0.24,1.48234,0.558481
0.241,1.48081,0.556286
0.242,1.48822,0.56574
0.243,1.47654,0.572398
0.244,1.49143,0.575905
0.245,1.48783,0.572829
0.246,1.49502,0.575891
0.247,1.49026,0.580237
0.248,1.49041,0.57807
0.249,1.49514,0.591948
0.25,1.50577,0.594716
0.251,1.50445,0.591518
0.252,1.4988,0.606697
0.253,1.50696,0.61447
0.254,1.50897,0.603012
0.255,1.51092,0.610273
0.256,1.51044,0.610605
0.257,1.52026,0.614128
0.258,1.52061,0.618553
0.259,1.52277,0.623121
0.26,1.522,0.633355
0.261,1.52678,0.628395
0.262,1.53776,0.642443
0.263,1.52877,0.642216
0.264,1.54331,0.643286
0.265,1.53038,0.646711
0.266,1.53531,0.642183
0.267,1.54689,0.649121
0.268,1.53993,0.661526
0.269,1.54538,0.659962
0.27,1.55763,0.678951
0.271,1.5514,0.665746
0.272,1.55705,0.676465
0.273,1.56293,0.669609
0.274,1.56624,0.67587
0.275,1.57235,0.680991
0.276,1.5692,0.682262
0.277,1.56717,0.685858
0.278,1.57565,0.691452
0.279,1.59014,0.699238
0.28,1.58678,0.708863
0.281,1.58627,0.714994
0.282,1.58972,0.707978
0.283,1.59343,0.726069
0.284,1.59752,0.723208
0.285,1.60426,0.713199
0.286,1.59838,0.736525
0.287,1.61099,0.740792
0.288,1.60082,0.733772
0.289,1.6168,0.740464
0.29,1.61024,0.741385
0.291,1.63542,0.751747
0.292,1.63277,0.763541
0.293,1.62356,0.756233
0.294,1.62633,0.763524
0.295,1.64808,0.771221
0.296,1.64436,0.775187
0.297,1.64168,0.775726
0.298,1.64512,0.777522
0.299,1.65487,0.795149
0.3,1.66271,0.800021
0.301,1.66762,0.792719
0.302,1.66566,0.795834
0.303,1.67481,0.794204
0.304,1.67805,0.795786
0.305,1.6856,0.814344
0.306,1.69048,0.824024
0.307,1.68861,0.826709
0.308,1.7127,0.818271
0.309,1.69206,0.817688
0.31,1.70796,0.837051
0.311,1.69928,0.841692
0.312,1.71442,0.833628
0.313,1.71848,0.851273
0.314,1.72425,0.846803
0.315,1.7325,0.861061
0.316,1.73308,0.870061
0.317,1.73855,0.867675
0.318,1.75403,0.867711
0.319,1.74164,0.883505
0.32,1.75633,0.871881
0.321,1.76946,0.882387
0.322,1.77781,0.894721
0.323,1.78249,0.905602
0.324,1.80138,0.898304
0.325,1.79224,0.912016
0.326,1.79174,0.902815
0.327,1.80253,0.905188
0.328,1.81674,0.935105
0.329,1.83283,0.933621
0.33,1.82389,0.924806
0.331,1.84243,0.934102
0.332,1.83735,0.935711
0.333,1.84843,0.933492
0.334,1.85499,0.948263
0.335,1.87311,0.93908
0.336,1.86754,0.954802
0.337,1.86925,0.957708
0.338,1.87837,0.97536
0.339,1.89443,0.970152
0.34,1.90635,0.961323
0.341,1.91036,0.976527
0.342,1.91643,0.986011
0.343,1.9245,1.00624
0.344,1.91487,0.985574
0.345,1.936,1.00795
0.346,1.94742,1.00098
0.347,1.95905,1.01614
0.348,1.97483,1.01365
0.349,1.96602,1.02299
0.35,1.97054,1.00964
0.351,2.00929,1.04246
0.352,2.00751,1.01035
0.353,2.01214,1.03264
0.354,2.02152,1.04633
0.355,2.03356,1.05174
0.356,2.03983,1.0411
0.357,2.05107,1.07377
0.358,2.05398,1.04455
0.359,2.05651,1.05828
0.36,2.07651,1.06287
0.361,2.09839,1.0822
0.362,2.10164,1.07341
0.363,2.11357,1.06751
0.364,2.11612,1.08558
0.365,2.13298,1.09786
0.366,2.14258,1.0737
0.367,2.16614,1.08734
0.368,2.1587,1.10252
0.369,2.18755,1.10287
0.37,2.17926,1.10643
0.371,2.20963,1.10307
0.372,2.2283,1.12232
0.373,2.23104,1.1156
0.374,2.25341,1.1323
0.375,2.25736,1.13475
0.376,2.28567,1.14011
0.377,2.2967,1.12093
0.378,2.31951,1.12444
0.379,2.33296,1.12054
0.38,2.33859,1.15427
0.381,2.33624,1.16223
0.382,2.35742,1.1366
0.383,2.36645,1.12727
0.384,2.38251,1.14595
0.385,2.41298,1.14858
0.386,2.41914,1.15712
0.387,2.44225,1.16133
0.388,2.43083,1.14224
0.389,2.47726,1.16383
0.39,2.48036,1.15691
0.391,2.50618,1.14983
0.392,2.51836,1.15457
0.393,2.54536,1.12754
0.394,2.55553,1.13327
0.395,2.57472,1.15307
0.396,2.59726,1.16455
0.397,2.60562,1.14986
0.398,2.61462,1.13163
0.399,2.65165,1.17489
0.4,2.67033,1.16644
0.401,2.67133,1.16286
0.402,2.7083,1.13135
0.403,2.7368,1.13371
0.404,2.7497,1.1601
0.405,2.74532,1.15696
0.406,2.78964,1.1162
0.407,2.79506,1.15809
0.408,2.80735,1.09891
0.409,2.84736,1.1314
0.41,2.91179,1.09577
