# SPIKE SUSCEPTIBILITY SIMULATION
# -------------------------------
#
# N_neurons = 10000000
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 500
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 0.0001
# f_low = 0
# f_high = 50
#
# Data format:
# Frequency, Re(Suscept_1), Im(Suscept_1), Re(Suscept_2), Im(Suscept_2)
#
0,-nan,-nan,-nan,-nan
0.002,1.47093,1.37393,-850.674,-2267.8
0.004,2.60067,2.13843,806.314,-4144.91
0.006,1.39709,-2.08913,9624.75,-804.488
0.008,2.31106,-3.65567,5580.45,1305.44
0.01,0.00420049,1.84637,-534.313,1095.67
0.012,2.67074,0.286931,-979.742,-2023.08
0.014,0.55839,4.03185,-5821.49,-10603
0.016,0.121038,-0.6754,1283.11,-4697.26
0.018,1.35027,0.16941,-5283.76,1067.01
0.02,-0.726611,-2.13818,3598.27,-5875.21
0.022,3.62724,0.317674,-7047.53,48.1351
0.024,3.87959,-1.54161,2551.2,-6389.47
0.026,2.69797,-2.31719,3839.36,4721.01
0.028,2.43981,0.0729566,-286.278,-129.313
0.03,-3.35452,0.450127,1095.28,5208.21
0.032,1.92505,2.27827,-693.304,-3015.91
0.034,3.85289,0.774209,-757.459,1140.36
0.036,2.59419,-1.93907,540.067,-536.043
0.038,2.43773,0.247079,303.567,9538.53
0.04,2.60407,0.188053,6755.92,1669.71
0.042,1.52082,-0.0450827,-1374.03,-99.5685
0.044,-2.78855,2.0682,-3784.9,2867.1
0.046,2.56891,1.71753,-1692.71,268.673
0.048,-1.79371,1.87279,8031.15,763.069
0.05,1.57044,0.532463,-4656.02,-5819.74
0.052,-0.243,0.759783,-7393.22,-7566.71
0.054,-2.22058,-0.994541,-263.335,-1996.84
0.056,0.833784,0.443021,-4582.69,-1670.04
0.058,1.53506,4.24002,-2161.1,-6554.38
0.06,2.06262,-1.85541,1958.43,-2500.13
0.062,-1.91084,2.00786,-5320.93,-3217.25
0.064,0.10841,1.82535,-2722.04,-618.178
0.066,-0.813114,-1.7699,5398.03,-4064.32
0.068,4.77943,-1.88024,1238.38,7364.87
0.07,4.28483,-1.54832,7205.71,-2668.91
0.072,2.58724,1.84662,252.746,-4867.68
0.074,3.54558,-1.60106,-4783.22,-92.6267
0.076,3.8663,-2.46953,-5102.26,-995.631
0.078,2.04828,-2.17506,-2652.94,5518.26
0.08,-0.679371,0.656993,-2249.54,-3537.64
0.082,2.87212,-0.120889,2817.85,767.494
0.084,-0.920983,0.935665,2608.82,-7686.92
0.086,0.530839,-0.337428,-10692,4161.9
0.088,2.83628,0.267765,4478.01,3156.97
0.09,2.69425,3.02579,-3696,6700.7
0.092,-1.70165,-1.32541,3274.23,3520.87
0.094,1.31305,-1.62443,858.05,-4631.85
0.096,-2.68661,1.30268,-8434.81,-4340.82
0.098,0.339235,-1.06223,-10690,-2866.7
0.1,3.41651,-1.97403,983.792,-1094.21
