# SPIKE SUSCEPTIBILITY SIMULATION
# -------------------------------
#
# N_neurons = 1000000
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 500
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 0.001
# f_low = 0
# f_high = 50
#
# Data format:
# Frequency, Re(Suscept_1), Im(Suscept_1), Re(Suscept_2), Im(Suscept_2)
#
0,-nan,-nan,-nan,-nan
0.002,1.07195,-0.148462,-106.992,-181.16
0.004,1.25889,-1.37549,-63.1515,-115.662
0.006,0.307834,-0.346882,52.7025,-159.226
0.008,1.60581,-0.221847,93.2445,86.6093
0.01,1.4193,-0.866466,-18.2291,-155.207
0.012,1.55641,0.575145,16.6552,33.8662
0.014,0.381411,0.541053,-66.2343,99.7348
0.016,1.95474,0.458559,-107.109,-35.7147
0.018,1.6271,0.336131,34.8457,4.75497
0.02,1.68937,0.189406,71.6133,-208.432
0.022,1.243,0.876568,-53.9052,-105.471
0.024,0.80888,0.86846,-76.4639,-124.033
0.026,1.71896,0.0488729,-50.4699,-56.3609
0.028,1.28107,-0.297877,27.233,5.63527
0.03,3.33988,0.0461285,-13.2417,-26.9765
0.032,1.93403,-0.980976,-45.005,-172.405
0.034,0.645727,0.433325,25.1303,-87.7475
0.036,2.31353,-0.499718,-64.5065,-86.5088
0.038,2.0732,0.0614498,-200.474,96.1846
0.04,0.130496,0.830433,9.9842,27.7543
0.042,2.30353,-0.109007,-43.7041,-50.5966
0.044,1.40693,0.29057,93.2406,-98.2857
0.046,2.74544,1.3652,-96.8145,155.149
0.048,1.43698,1.15978,50.9153,-2.71872
0.05,2.7068,0.190428,-1.91684,111.38
0.052,1.01939,0.125777,-9.42616,67.4937
0.054,1.42485,-0.40333,-26.5681,-223.416
0.056,0.771253,1.22005,124.239,153.527
0.058,0.916688,-0.326839,56.2802,-171.077
0.06,1.64232,0.14101,-120.672,17.0247
0.062,1.43542,0.235759,195.05,208.741
0.064,1.46485,0.737607,-185.97,-8.46057
0.066,1.55897,1.65488,7.07899,-54.111
0.068,2.44194,-0.216316,-28.6118,-230.512
0.07,1.89562,-0.79575,-9.08631,105.353
0.072,0.468101,1.33657,129.784,168.572
